crop,cum_final,p_value,significant
Winter Barley,0.0185,0.178,False
Spring Barley,-0.0044,0.523,False
Winter Wheat,0.0185,0.178,False
Spring Wheat,-0.0033,0.746,False
Silage Maize,0.0283,0.034,True
White Potato,0.2168,0.015,True
Oat,0.0643,0.137,False
Dry Pea,0.0,1.0,False
Winter Rape,-0.0011,1.0,False
Spring Rape,0.5719,0.002,True
OVERALL,0.091,0.002,True
