crop,year,obs_mean_suit,cf_mean_suit,obs_area_km2,cf_area_km2
Winter Barley,1979,1.004581901489118,1.004581901489118,396.7994440855114,396.7994440855114
Winter Barley,1980,1.002290950744559,1.002290950744559,198.01054925822908,198.01054925822908
Winter Barley,1981,1.0057273768613975,1.0057273768613975,495.80471871462595,495.80471871462595
Winter Barley,1982,1.0017182130584192,1.0017182130584192,99.00527462911454,99.00527462911454
Winter Barley,1983,1.0103092783505154,1.0103092783505154,993.6794804498442,993.6794804498442
Winter Barley,1984,1.0074455899198167,1.0074455899198167,694.7232372082223,694.7232372082223
Winter Barley,1985,1.0143184421534936,1.0143184421534936,1589.1375909415076,1589.1375909415076
Winter Barley,1986,1.0,1.0,0.0,0.0
Winter Barley,1987,1.0126002290950744,1.0126002290950744,1190.1393873017748,1190.1393873017748
Winter Barley,1988,1.0194730813287514,1.0194730813287514,1687.4968670346898,1687.4968670346898
Winter Barley,1989,1.024627720504009,1.024627720504009,2580.4886877768804,2580.4886877768804
Winter Barley,1990,1.004581901489118,1.004581901489118,396.28094981511134,396.28094981511134
Winter Barley,1991,1.006872852233677,1.006872852233677,494.8955431312314,494.8955431312314
Winter Barley,1992,1.020045819014891,1.020045819014891,1986.3243933487474,1986.3243933487474
Winter Barley,1993,1.011454753722795,1.011454753722795,1092.684755078959,1092.684755078959
Winter Barley,1994,1.0126002290950744,1.0126002290950744,1190.5279559228482,1190.5279559228482
Winter Barley,1995,1.0040091638029782,1.0040091638029782,395.6283096676473,395.6283096676473
Winter Barley,1996,1.002290950744559,1.002290950744559,198.9173089830427,198.9173089830427
Winter Barley,1997,1.0017182130584192,1.0017182130584192,198.14047490755567,198.14047490755567
Winter Barley,1998,1.0280641466208476,1.0280641466208476,2775.627639521048,2775.627639521048
Winter Barley,1999,1.0074455899198167,1.0080183276059564,790.9877483036375,792.4277537531588
Winter Barley,2000,1.0063001145475372,1.0057273768613975,395.6301156162272,494.1060698975818
Winter Barley,2001,1.011454753722795,1.0217640320733103,1091.133508311779,1787.018819698239
Winter Barley,2002,1.0721649484536082,1.0160366552119129,5449.528145753722,1087.882663493209
Winter Barley,2003,1.052119129438717,1.0469644902634594,4651.763213794195,4160.661163922531
Winter Barley,2004,1.0475372279495991,1.0257731958762886,4652.416771356156,2277.49903073808
Winter Barley,2005,1.0899198167239403,1.0801832760595647,7531.071267677239,6541.8152727773195
Winter Barley,2006,1.0526918671248569,1.0595647193585338,4651.887510335409,4943.059730286739
Winter Barley,2007,1.0194730813287514,1.0360824742268042,1879.1028351297864,3067.32044015851
Winter Barley,2008,1.0315005727376862,1.0813287514318441,2773.1563442421493,6842.458140906404
Winter Barley,2009,1.034364261168385,1.070446735395189,3169.304657290844,5951.803777083466
Winter Barley,2010,1.0492554410080184,1.0206185567010309,3867.661502516316,1881.3522295833156
Winter Barley,2011,1.0492554410080184,1.0286368843069873,4353.937128577711,2667.3802550259607
Winter Barley,2012,1.0183276059564719,1.0189003436426116,1686.7136933306836,1785.4639495500064
Winter Barley,2013,1.0143184421534936,1.0143184421534936,1390.478319385683,1390.478319385683
Winter Barley,2014,1.0400916380297824,1.0286368843069873,2877.62115959547,2380.518989206821
Winter Barley,2015,1.0509736540664376,1.0309278350515463,4350.856625124953,2970.7858636227675
Winter Barley,2016,1.0715922107674685,1.0893470790378006,5449.392772192703,6737.757283337696
Winter Barley,2017,1.072737686139748,1.0538373424971363,6040.704159310633,4457.418328986925
Winter Barley,2018,1.1254295532646048,1.0481099656357389,9113.938076595134,4157.517669977538
Spring Barley,1979,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Barley,1980,1.0005727376861397,1.0005727376861397,99.39414523320055,99.39414523320055
Spring Barley,1981,1.0131729667812142,1.0131729667812142,1389.8235629870915,1389.8235629870915
Spring Barley,1982,1.002290950744559,1.002290950744559,198.9173089830427,198.9173089830427
Spring Barley,1983,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Barley,1984,1.002290950744559,1.002290950744559,298.5691880847099,298.5691880847099
Spring Barley,1985,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Barley,1986,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Barley,1987,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Barley,1988,1.0097365406643757,1.0097365406643757,1388.3919732999605,1388.3919732999605
Spring Barley,1989,1.0028636884306987,1.0028636884306987,396.14468847386746,396.14468847386746
Spring Barley,1990,1.004581901489118,1.004581901489118,398.22106718637707,398.22106718637707
Spring Barley,1991,1.0126002290950744,1.0126002290950744,1092.2931701952566,1092.2931701952566
Spring Barley,1992,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Barley,1993,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Barley,1994,1.0034364261168385,1.0034364261168385,398.22106718637707,398.22106718637707
Spring Barley,1995,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Barley,1996,1.0028636884306987,1.0028636884306987,398.22106718637707,398.22106718637707
Spring Barley,1997,1.002290950744559,1.002290950744559,298.5691880847099,298.5691880847099
Spring Barley,1998,1.0040091638029782,1.0040091638029782,397.18287783012227,397.18287783012227
Spring Barley,1999,1.004581901489118,1.004581901489118,596.3615420939327,596.3615420939327
Spring Barley,2000,1.0131729667812142,1.0080183276059564,1489.8591719211781,993.9360000916122
Spring Barley,2001,1.0120274914089347,1.0229095074455898,1490.5133278881076,2478.085132088591
Spring Barley,2002,1.0171821305841924,1.0108820160366552,1582.2633587561343,1090.3476207027813
Spring Barley,2003,1.0120274914089347,1.004581901489118,1088.5165950098628,496.7036273173542
Spring Barley,2004,1.013745704467354,1.004581901489118,1385.5321173099699,596.3615420939327
Spring Barley,2005,1.0131729667812142,1.009163802978236,1388.1342394314938,993.6794804498442
Spring Barley,2006,1.0601374570446735,1.06815578465063,5859.287434385022,6550.23620592989
Spring Barley,2007,1.009163802978236,1.0074455899198167,990.8153971109323,794.6265073707633
Spring Barley,2008,1.0040091638029782,1.0040091638029782,398.22106718637707,398.22106718637707
Spring Barley,2009,1.0097365406643757,1.0097365406643757,1189.4716440974555,1189.4716440974555
Spring Barley,2010,1.0504009163802979,1.041237113402062,4860.287398870318,3377.314853549985
Spring Barley,2011,1.0171821305841924,1.0063001145475372,1484.796938877315,594.4129787217473
Spring Barley,2012,1.0183276059564719,1.0183276059564719,1783.2425429274558,1783.2425429274558
Spring Barley,2013,1.0074455899198167,1.0063001145475372,1093.0727169746206,894.5430690851103
Spring Barley,2014,1.0017182130584192,1.0017182130584192,198.9173089830427,198.9173089830427
Spring Barley,2015,1.0017182130584192,1.0017182130584192,198.26768271528883,198.13685349525454
Spring Barley,2016,1.0349369988545247,1.024627720504009,2976.494997093654,2284.5056171751085
Spring Barley,2017,1.024627720504009,1.02233676975945,2481.5973321888373,2184.7183739907464
Spring Barley,2018,1.0337915234822452,1.0372279495990837,3374.318740954224,3180.2134838089523
Winter Wheat,1979,1.004581901489118,1.004581901489118,396.7994440855114,396.7994440855114
Winter Wheat,1980,1.002290950744559,1.002290950744559,198.01054925822908,198.01054925822908
Winter Wheat,1981,1.0057273768613975,1.0057273768613975,495.80471871462595,495.80471871462595
Winter Wheat,1982,1.0017182130584192,1.0017182130584192,99.00527462911454,99.00527462911454
Winter Wheat,1983,1.0103092783505154,1.0103092783505154,993.6794804498442,993.6794804498442
Winter Wheat,1984,1.0074455899198167,1.0074455899198167,694.7232372082223,694.7232372082223
Winter Wheat,1985,1.0143184421534936,1.0143184421534936,1589.1375909415076,1589.1375909415076
Winter Wheat,1986,1.0,1.0,0.0,0.0
Winter Wheat,1987,1.0126002290950744,1.0126002290950744,1190.1393873017748,1190.1393873017748
Winter Wheat,1988,1.0194730813287514,1.0194730813287514,1687.4968670346898,1687.4968670346898
Winter Wheat,1989,1.024627720504009,1.024627720504009,2580.4886877768804,2580.4886877768804
Winter Wheat,1990,1.004581901489118,1.004581901489118,396.28094981511134,396.28094981511134
Winter Wheat,1991,1.006872852233677,1.006872852233677,494.8955431312314,494.8955431312314
Winter Wheat,1992,1.0194730813287514,1.0194730813287514,1887.1891930703061,1887.1891930703061
Winter Wheat,1993,1.0108820160366552,1.0108820160366552,1092.684755078959,1092.684755078959
Winter Wheat,1994,1.0126002290950744,1.0126002290950744,1190.5279559228482,1190.5279559228482
Winter Wheat,1995,1.0040091638029782,1.0040091638029782,395.6283096676473,395.6283096676473
Winter Wheat,1996,1.002290950744559,1.002290950744559,198.9173089830427,198.9173089830427
Winter Wheat,1997,1.0017182130584192,1.0017182130584192,198.14047490755567,198.14047490755567
Winter Wheat,1998,1.0280641466208476,1.0280641466208476,2775.627639521048,2775.627639521048
Winter Wheat,1999,1.0074455899198167,1.0080183276059564,790.9877483036375,792.4277537531588
Winter Wheat,2000,1.0063001145475372,1.0057273768613975,395.6301156162272,494.1060698975818
Winter Wheat,2001,1.011454753722795,1.0217640320733103,1091.133508311779,1787.018819698239
Winter Wheat,2002,1.0693012600229095,1.0154639175257731,4952.559537806699,1087.882663493209
Winter Wheat,2003,1.052119129438717,1.0469644902634594,4651.763213794195,4160.661163922531
Winter Wheat,2004,1.0475372279495991,1.0257731958762886,4652.416771356156,2277.49903073808
Winter Wheat,2005,1.088201603665521,1.0790378006872852,7332.671847814924,6541.8152727773195
Winter Wheat,2006,1.0526918671248569,1.0595647193585338,4651.887510335409,4943.059730286739
Winter Wheat,2007,1.0189003436426116,1.0349369988545247,1879.1028351297864,3067.32044015851
Winter Wheat,2008,1.0315005727376862,1.0813287514318441,2773.1563442421493,6842.458140906404
Winter Wheat,2009,1.034364261168385,1.0675830469644902,3169.304657290844,5454.446601304159
Winter Wheat,2010,1.0492554410080184,1.0206185567010309,3867.661502516316,1881.3522295833156
Winter Wheat,2011,1.0492554410080184,1.0286368843069873,4353.937128577711,2667.3802550259607
Winter Wheat,2012,1.0183276059564719,1.0189003436426116,1686.7136933306836,1785.4639495500064
Winter Wheat,2013,1.0143184421534936,1.0143184421534936,1390.478319385683,1390.478319385683
Winter Wheat,2014,1.0400916380297824,1.0286368843069873,2877.62115959547,2380.518989206821
Winter Wheat,2015,1.0504009163802979,1.0309278350515463,4350.856625124953,2970.7858636227675
Winter Wheat,2016,1.0715922107674685,1.0887743413516608,5449.392772192703,6638.105404236029
Winter Wheat,2017,1.0721649484536082,1.0532646048109966,5942.221599179657,4358.9357688559485
Winter Wheat,2018,1.120274914089347,1.0475372279495991,8715.974743277224,4157.517669977538
Spring Wheat,1979,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Wheat,1980,1.0005727376861397,1.0005727376861397,99.39414523320055,99.39414523320055
Spring Wheat,1981,1.0131729667812142,1.0131729667812142,1290.5587390423361,1290.5587390423361
Spring Wheat,1982,1.002290950744559,1.002290950744559,198.9173089830427,198.9173089830427
Spring Wheat,1983,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Wheat,1984,1.0017182130584192,1.0017182130584192,198.9173089830427,198.9173089830427
Spring Wheat,1985,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Wheat,1986,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Wheat,1987,1.0017182130584192,1.0017182130584192,99.52316374984214,99.52316374984214
Spring Wheat,1988,1.0080183276059564,1.0080183276059564,1090.7322592196804,1090.7322592196804
Spring Wheat,1989,1.002290950744559,1.002290950744559,297.5309987284551,297.5309987284551
Spring Wheat,1990,1.004581901489118,1.004581901489118,398.22106718637707,398.22106718637707
Spring Wheat,1991,1.0126002290950744,1.0126002290950744,1092.2931701952566,1092.2931701952566
Spring Wheat,1992,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Wheat,1993,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Wheat,1994,1.0034364261168385,1.0034364261168385,298.5691880847099,298.5691880847099
Spring Wheat,1995,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Wheat,1996,1.0028636884306987,1.0028636884306987,398.22106718637707,398.22106718637707
Spring Wheat,1997,1.002290950744559,1.002290950744559,198.9173089830427,198.9173089830427
Spring Wheat,1998,1.0040091638029782,1.0040091638029782,397.18287783012227,397.18287783012227
Spring Wheat,1999,1.0028636884306987,1.0028636884306987,398.22106718637707,398.22106718637707
Spring Wheat,2000,1.0120274914089347,1.006872852233677,1489.8591719211781,993.9360000916122
Spring Wheat,2001,1.0108820160366552,1.0211912943871706,1391.2485039433523,2279.9452607512835
Spring Wheat,2002,1.0177548682703321,1.011454753722795,1582.2633587561343,1090.3476207027813
Spring Wheat,2003,1.0126002290950744,1.004581901489118,1088.5165950098628,496.7036273173542
Spring Wheat,2004,1.0126002290950744,1.0040091638029782,1187.3916424024144,398.22106718637707
Spring Wheat,2005,1.013745704467354,1.0097365406643757,1388.1342394314938,993.6794804498442
Spring Wheat,2006,1.0498281786941581,1.0561282932416953,5362.453292062833,5954.527016215149
Spring Wheat,2007,1.0080183276059564,1.006872852233677,891.5505731661772,695.3616834260081
Spring Wheat,2008,1.004581901489118,1.004581901489118,398.22106718637707,398.22106718637707
Spring Wheat,2009,1.0097365406643757,1.0097365406643757,1090.0774988642552,1090.0774988642552
Spring Wheat,2010,1.0441008018327607,1.032073310423826,4563.401802219536,3377.314853549985
Spring Wheat,2011,1.0183276059564719,1.0063001145475372,1484.796938877315,594.4129787217473
Spring Wheat,2012,1.0189003436426116,1.0189003436426116,1783.2425429274558,1783.2425429274558
Spring Wheat,2013,1.006872852233677,1.0057273768613975,894.5430690851103,696.0134211955999
Spring Wheat,2014,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Spring Wheat,2015,1.0017182130584192,1.002290950744559,99.52316374984214,198.13685349525454
Spring Wheat,2016,1.0349369988545247,1.0252004581901488,2877.100851860454,2284.5056171751085
Spring Wheat,2017,1.0211912943871706,1.0189003436426116,2283.1973079656404,1986.3183497675498
Spring Wheat,2018,1.0337915234822452,1.0378006872852235,3175.7890930647136,3080.9486598641965
Silage Maize,1979,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Silage Maize,1980,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Silage Maize,1981,1.0051546391752577,1.0051546391752577,595.4484466772019,595.4484466772019
Silage Maize,1982,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Silage Maize,1983,1.0017182130584192,1.0017182130584192,99.52316374984214,99.52316374984214
Silage Maize,1984,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
Silage Maize,1985,1.0011454753722795,1.0011454753722795,99.52316374984214,99.52316374984214
