crop,period,metric,obs_tau,obs_p,obs_slope,obs_trend,obs_significant,cf_tau,cf_p,cf_slope,cf_trend,cf_significant,slope_difference,boot_ci_lo,boot_ci_hi,boot_p,boot_sig,perm_ci_lo,perm_ci_hi,perm_p,perm_sig,is_Overall
Dry Pea,1999-2018,mean_suit,0.005,1.0,0.0,no trend,False,0.032,0.871,8.9e-05,no trend,False,-8.9e-05,-0.000465,0.000475,0.581,False,-0.000451,0.000408,0.737,False,False
Dry Pea,1999-2018,pct_ge2,0.042,0.8199,0.004909,no trend,False,0.042,0.82,0.007671,no trend,False,-0.002762,-0.019091,0.017739,0.65,False,-0.021069,0.023642,0.812,False,False
Winter Rape,1979-2018,mean_suit,0.369,0.0007,0.000143,increasing,True,0.412,0.0001,0.000187,increasing,True,-4.4e-05,-5.7e-05,5.5e-05,0.086,False,-0.000137,0.000131,0.538,False,False
Winter Rape,1979-2018,pct_ge2,0.353,0.0011,0.00743,increasing,True,0.362,0.0008,0.008182,increasing,True,-0.000752,-0.00234,0.002729,0.191,False,-0.006364,0.006393,0.814,False,False
Winter Rape,1999-2018,mean_suit,0.232,0.1611,0.000273,no trend,False,0.353,0.0315,0.000573,increasing,True,-0.0003,-0.000481,0.000415,0.141,False,-0.000428,0.000459,0.348,False,False
Winter Rape,1999-2018,pct_ge2,0.205,0.2127,0.007159,no trend,False,0.289,0.0775,0.026234,no trend,False,-0.019075,-0.021496,0.023864,0.08,False,-0.023647,0.023408,0.195,False,False
Spring Rape,1979-2018,mean_suit,0.517,0.0,0.002913,increasing,True,0.431,0.0001,0.001658,increasing,True,0.001255,-0.000638,0.000662,0.002,True,-0.000765,0.000799,0.0,True,False
Spring Rape,1979-2018,pct_ge2,0.486,0.0,0.095456,increasing,True,0.242,0.0284,0.029099,increasing,True,0.066357,-0.033812,0.032435,0.0,True,-0.042698,0.039544,0.0,True,False
Spring Rape,1999-2018,mean_suit,0.095,0.5809,0.000481,no trend,False,-0.037,0.8454,-0.000123,no trend,False,0.000604,-0.002126,0.001985,0.451,False,-0.00321,0.003387,0.651,False,False
Spring Rape,1999-2018,pct_ge2,0.063,0.7205,0.035592,no trend,False,-0.042,0.8197,-0.005467,no trend,False,0.041059,-0.11074,0.105738,0.376,False,-0.147058,0.142061,0.549,False,False
Overall,1979-2018,mean_suit,0.579,0.0,0.001204,,True,0.538,0.0,0.001072,,True,0.000132,-0.000199,0.000222,0.169,False,-0.000201,0.000198,0.224,False,False
Overall,1979-2018,pct_ge2,0.545,0.0,0.057274,,True,0.499,0.0,0.04891,,True,0.008364,-0.010538,0.011516,0.099,False,-0.011489,0.011194,0.178,False,False
Overall,1999-2018,mean_suit,0.211,0.2058,0.000981,,False,0.158,0.3468,0.000574,,False,0.000407,-0.000907,0.000843,0.328,False,-0.001091,0.00102,0.487,False,False
Overall,1999-2018,pct_ge2,0.179,0.2843,0.060495,,False,0.147,0.381,0.025057,,False,0.035438,-0.053881,0.048619,0.144,False,-0.054754,0.052334,0.282,False,False
Overall,1979-2018,mean_suit,0.579,0.0,0.001204,,True,0.538,0.0,0.001072,,True,0.000132,-0.000199,0.000222,0.169,False,-0.000201,0.000198,0.224,False,True
Overall,1979-2018,pct_ge2,0.545,0.0,0.057274,,True,0.499,0.0,0.04891,,True,0.008364,-0.010538,0.011516,0.099,False,-0.011489,0.011194,0.178,False,True
Overall,1999-2018,mean_suit,0.211,0.2058,0.000981,,False,0.158,0.3468,0.000574,,False,0.000407,-0.000907,0.000843,0.328,False,-0.001091,0.00102,0.487,False,True
Overall,1999-2018,pct_ge2,0.179,0.2843,0.060495,,False,0.147,0.381,0.025057,,False,0.035438,-0.053881,0.048619,0.144,False,-0.054754,0.052334,0.282,False,True
