year,unchanged_px,changed_px,improved_px,degraded_px
1999,1736,0,0,0
2000,1734,0,0,0
2001,1699,0,0,0
2002,1704,0,0,0
2003,1684,0,0,0
2004,1699,0,0,0
2005,1632,0,0,0
2006,1663,0,0,0
2007,1705,0,0,0
2008,1647,0,0,0
2009,1611,0,0,0
2010,1669,0,0,0
2011,1707,0,0,0
2012,1697,0,0,0
2013,1679,0,0,0
2014,1716,0,0,0
2015,1702,0,0,0
2016,1670,0,0,0
2017,1685,0,0,0
2018,1634,0,0,0
