year,crop,mean_delta,pct_positive,pct_negative
1999,Winter Barley,0.40838545180381614,2.6595744680851063,0.5319148936170213
2000,Winter Barley,0.20044472200650695,1.4184397163120568,1.2411347517730498
2001,Winter Barley,-8.59180424737592,0.8865248226950355,6.73758865248227
2002,Winter Barley,37.191136935078504,9.219858156028367,0.1773049645390071
2003,Winter Barley,1.5365470750299515,1.9230769230769231,1.5271493212669682
2004,Winter Barley,18.229620050876697,9.75177304964539,0.5319148936170213
2005,Winter Barley,2.816266269705414,3.959276018099547,2.7149321266968327
2006,Winter Barley,-1.4973499397346877,0.6787330316742082,1.6402714932126699
2007,Winter Barley,-3.340590734827033,1.1312217194570136,1.1312217194570136
2008,Winter Barley,-11.775853302009505,0.22624434389140274,4.638009049773756
2009,Winter Barley,-8.349479704286178,1.1312217194570136,6.278280542986425
2010,Winter Barley,19.351156079177315,4.609929078014184,2.127659574468085
2011,Winter Barley,4.571885613834157,1.4705882352941175,0.22624434389140274
2012,Winter Barley,-0.3596800732936255,1.3574660633484164,1.4705882352941175
2013,Winter Barley,-0.5669477854379162,2.3755656108597285,1.6968325791855203
2014,Winter Barley,6.185813213916535,4.964539007092199,2.127659574468085
2015,Winter Barley,4.471752886319052,2.658371040723982,0.8484162895927602
2016,Winter Barley,-3.4507592258410216,2.4321266968325794,1.3009049773755657
2017,Winter Barley,14.453732328212007,4.25531914893617,1.0638297872340425
2018,Winter Barley,16.458501694968383,4.920814479638009,1.0180995475113122
1999,Spring Barley,0.0,0.0,0.0
2000,Spring Barley,0.7406096221095296,0.3393665158371041,0.0
2001,Spring Barley,-1.3896178853997279,0.0,0.6221719457013575
2002,Spring Barley,0.7700556155243611,0.2828054298642534,0.0
2003,Spring Barley,0.8947404110593493,0.3393665158371041,0.0
2004,Spring Barley,1.0816672657409945,0.4524886877828055,0.0
2005,Spring Barley,0.5071660296409918,0.22624434389140274,0.0
2006,Spring Barley,-1.0735542288732745,0.0,0.5090497737556561
2007,Spring Barley,0.18053721518538116,0.16968325791855204,0.11312217194570137
2008,Spring Barley,0.0,0.0,0.0
2009,Spring Barley,0.0,0.0,0.0
2010,Spring Barley,0.5831318980428428,1.809954751131222,0.9615384615384616
2011,Spring Barley,1.4585261280180641,0.5656108597285068,0.0
2012,Spring Barley,0.0,0.0,0.0
2013,Spring Barley,0.28082938647378086,0.22624434389140274,0.0
2014,Spring Barley,0.0,0.0,0.0
2015,Spring Barley,-0.04127706122074731,0.056561085972850686,0.056561085972850686
2016,Spring Barley,1.2065794370832486,0.5090497737556561,0.0
2017,Spring Barley,0.559721174283265,0.5090497737556561,0.056561085972850686
2018,Spring Barley,-1.3912172705879038,0.39592760180995473,0.6221719457013575
1999,Winter Wheat,0.4026628115498428,2.6595744680851063,0.5319148936170213
2000,Winter Wheat,0.2079615187137685,1.4184397163120568,1.2411347517730498
2001,Winter Wheat,-8.547899282570427,1.5957446808510638,6.028368794326241
2002,Winter Wheat,36.47019643310114,9.219858156028367,0.3546099290780142
2003,Winter Wheat,1.5075084300062775,1.8665158371040724,1.583710407239819
2004,Winter Wheat,18.044541950766924,9.219858156028367,1.0638297872340425
2005,Winter Wheat,2.6428604774615345,3.959276018099547,2.7149321266968327
2006,Winter Wheat,-1.5162959746106177,0.6787330316742082,1.6968325791855203
2007,Winter Wheat,-3.3281444338112394,1.1312217194570136,1.1877828054298643
2008,Winter Wheat,-11.722603522679385,0.22624434389140274,4.638009049773756
2009,Winter Wheat,-8.164650082048787,1.1312217194570136,6.278280542986425
2010,Winter Wheat,19.236696946705486,4.609929078014184,2.127659574468085
2011,Winter Wheat,4.551871726955224,1.4705882352941175,0.22624434389140274
2012,Winter Wheat,-0.35667024478653436,1.3574660633484164,1.4705882352941175
2013,Winter Wheat,-0.5834697683202735,2.092760180995475,1.9796380090497736
2014,Winter Wheat,6.1722182415901345,4.964539007092199,2.127659574468085
2015,Winter Wheat,4.482691418531254,2.658371040723982,0.8484162895927602
2016,Winter Wheat,-3.420579468502718,2.4321266968325794,1.3009049773755657
2017,Winter Wheat,14.394806861877441,4.25531914893617,1.0638297872340425
2018,Winter Wheat,16.260411933536442,4.920814479638009,1.0180995475113122
1999,Spring Wheat,0.0,0.0,0.0
2000,Spring Wheat,0.7088151754836691,0.4524886877828055,0.0
2001,Spring Wheat,-1.343634022846481,0.0,0.6221719457013575
2002,Spring Wheat,0.7976297318126282,0.2828054298642534,0.0
2003,Spring Wheat,0.9700055877547459,0.3393665158371041,0.0
2004,Spring Wheat,1.0837413045615631,0.4524886877828055,0.0
2005,Spring Wheat,0.5121553515956413,0.22624434389140274,0.0
2006,Spring Wheat,-0.9517644217650815,0.0,0.5090497737556561
2007,Spring Wheat,0.184907839848445,0.16968325791855204,0.11312217194570137
2008,Spring Wheat,0.0,0.0,0.0
2009,Spring Wheat,0.0,0.0,0.0
2010,Spring Wheat,0.9936395446639256,1.809954751131222,0.9615384615384616
2011,Spring Wheat,1.49802680900194,0.5656108597285068,0.0
2012,Spring Wheat,0.0,0.0,0.0
2013,Spring Wheat,0.24505894863767322,0.22624434389140274,0.0
2014,Spring Wheat,0.0,0.0,0.0
2015,Spring Wheat,-0.027354028969328866,0.056561085972850686,0.056561085972850686
2016,Spring Wheat,1.2050814175497893,0.6787330316742082,0.0
2017,Spring Wheat,0.4889811779039478,0.5090497737556561,0.056561085972850686
2018,Spring Wheat,-1.4011579185589407,0.4524886877828055,0.6221719457013575
1999,Silage Maize,-0.1894572525159687,0.0,0.8865248226950355
2000,Silage Maize,1.0889633936239473,1.2411347517730498,0.1773049645390071
2001,Silage Maize,0.0008129173136771994,0.7092198581560284,0.7092198581560284
2002,Silage Maize,1.5843569712199237,1.244343891402715,0.6787330316742082
2003,Silage Maize,0.7162932563335338,0.7092198581560284,1.4184397163120568
2004,Silage Maize,1.4936240649392418,1.2411347517730498,0.1773049645390071
2005,Silage Maize,0.5637810078073056,0.3546099290780142,0.0
2006,Silage Maize,-2.1366222868574427,0.0,1.4184397163120568
2007,Silage Maize,1.2534342767499018,1.4184397163120568,1.0638297872340425
2008,Silage Maize,0.13913988989537657,1.6402714932126699,0.3393665158371041
2009,Silage Maize,0.0,0.0,0.0
2010,Silage Maize,4.349226749006738,6.73758865248227,2.6595744680851063
2011,Silage Maize,1.2829485041029909,1.2411347517730498,0.7092198581560284
2012,Silage Maize,0.004058492871431204,0.11312217194570137,0.056561085972850686
2013,Silage Maize,-0.7994599659392174,0.7092198581560284,1.4184397163120568
2014,Silage Maize,0.5707241768109883,4.432624113475177,1.773049645390071
2015,Silage Maize,0.5841049247599662,1.4184397163120568,2.8368794326241136
2016,Silage Maize,0.702372040995892,2.304964539007092,4.078014184397164
2017,Silage Maize,1.190698264761174,1.950354609929078,1.4184397163120568
2018,Silage Maize,0.0,0.0,0.0
1999,White Potato,-0.2811609880821737,3.0542986425339365,11.934389140271493
2000,White Potato,0.22229918431305237,7.070135746606335,4.015837104072398
2001,White Potato,-0.11558673583072235,4.468325791855204,7.070135746606335
2002,White Potato,0.6407990344037298,9.615384615384617,6.108597285067873
2003,White Potato,0.2515615866060171,5.938914027149321,4.920814479638009
2004,White Potato,0.442867346343951,8.710407239819004,3.33710407239819
2005,White Potato,0.07088012907367486,7.52262443438914,2.4321266968325794
2006,White Potato,0.040697614262006944,8.597285067873303,3.506787330316742
2007,White Potato,0.1818806773464604,11.312217194570136,1.6968325791855203
2008,White Potato,0.17621267527948678,8.597285067873303,4.581447963800905
