Year,Winter barley,Spring barley,Winter wheat,Spring wheat,Silage maize,White potato,Spring oat,Dry pea,Winter rapeseed,Spring rapeseed,Overall
1979,1.004581901489118,1.0011454753722795,1.004581901489118,1.0011454753722795,1.0011454753722795,1.061282932416953,1.0234822451317296,1.0017182130584192,1.0,1.1827033218785796,1.0281786941580755
1980,1.002290950744559,1.0005727376861397,1.002290950744559,1.0005727376861397,1.0011454753722795,1.0183276059564719,1.0349369988545247,1.002290950744559,1.0,1.1758304696449027,1.0238258877434134
1981,1.0057273768613975,1.0131729667812142,1.0057273768613975,1.0131729667812142,1.0051546391752577,1.107101947308133,1.1466208476517754,1.0143184421534936,1.0,1.2182130584192439,1.0529209621993125
1982,1.0017182130584192,1.002290950744559,1.0017182130584192,1.002290950744559,1.0011454753722795,1.002290950744559,1.0630011454753723,1.002290950744559,1.0,1.1781214203894617,1.0254868270332187
1983,1.0103092783505154,1.0011454753722795,1.0103092783505154,1.0011454753722795,1.0017182130584192,1.0057273768613975,1.0383734249713632,1.0017182130584192,1.0017182130584192,1.172966781214204,1.0245131729667811
1984,1.0074455899198167,1.002290950744559,1.0074455899198167,1.0017182130584192,1.0011454753722795,1.0120274914089347,1.0429553264604812,1.002290950744559,1.0005727376861397,1.1494845360824741,1.022737686139748
1985,1.0143184421534936,1.0011454753722795,1.0143184421534936,1.0011454753722795,1.0011454753722795,1.0664375715922108,1.0549828178694158,1.0017182130584192,1.004581901489118,1.1821305841924399,1.0341924398625428
1986,1.0,1.0011454753722795,1.0,1.0011454753722795,1.0017182130584192,1.0166093928980526,1.061282932416953,1.0017182130584192,1.0,1.186139747995418,1.026975945017182
1987,1.0126002290950744,1.0011454753722795,1.0126002290950744,1.0017182130584192,1.0017182130584192,1.0085910652920962,1.0933562428407788,1.0017182130584192,1.0011454753722795,1.1827033218785796,1.031729667812142
1988,1.0194730813287514,1.0097365406643757,1.0194730813287514,1.0080183276059564,1.006872852233677,1.041237113402062,1.1334478808705613,1.011454753722795,1.0,1.2176403207331041,1.0467353951890033
1989,1.024627720504009,1.0028636884306987,1.024627720504009,1.002290950744559,1.0034364261168385,1.0234822451317296,1.1265750286368843,1.0028636884306987,1.0017182130584192,1.2124856815578464,1.0424971363115692
1990,1.004581901489118,1.004581901489118,1.004581901489118,1.004581901489118,1.004581901489118,1.0183276059564719,1.0538373424971363,1.0057273768613975,1.0028636884306987,1.147766323024055,1.0251431844215348
1991,1.006872852233677,1.0126002290950744,1.006872852233677,1.0126002290950744,1.0143184421534936,1.0280641466208476,1.122565864833906,1.0160366552119129,1.0,1.2124856815578464,1.0432416953035508
1992,1.020045819014891,1.0011454753722795,1.0194730813287514,1.0011454753722795,1.0017182130584192,1.0309278350515463,1.04581901489118,1.002290950744559,1.0063001145475372,1.2079037800687284,1.033676975945017
1993,1.011454753722795,1.0011454753722795,1.0108820160366552,1.0011454753722795,1.0011454753722795,1.054410080183276,1.0922107674684993,1.0017182130584192,1.0057273768613975,1.1827033218785796,1.036254295532646
1994,1.0126002290950744,1.0034364261168385,1.0126002290950744,1.0034364261168385,1.0080183276059564,1.0910652920962198,1.0950744558991983,1.004581901489118,1.002290950744559,1.2073310423825887,1.0440435280641465
1995,1.0040091638029782,1.0011454753722795,1.0040091638029782,1.0011454753722795,1.004581901489118,1.0280641466208476,1.0280641466208476,1.0028636884306987,1.0,1.1804123711340206,1.0254295532646047
1996,1.002290950744559,1.0028636884306987,1.002290950744559,1.0028636884306987,1.0034364261168385,1.009163802978236,1.145475372279496,1.0028636884306987,1.0,1.20446735395189,1.0375715922107673
1997,1.0017182130584192,1.002290950744559,1.0017182130584192,1.002290950744559,1.004581901489118,1.065864833906071,1.1208476517754868,1.002290950744559,1.0,1.2142038946162657,1.0415807560137456
1998,1.0280641466208476,1.0040091638029782,1.0280641466208476,1.0040091638029782,1.013745704467354,1.0274914089347078,1.1197021764032073,1.0051546391752577,1.0177548682703321,1.2846506300114549,1.0532646048109966
1999,1.0074455899198167,1.004581901489118,1.0074455899198167,1.0028636884306987,1.0120274914089347,1.029209621993127,1.09049255441008,1.0063001145475372,1.0,1.2222222222222223,1.038258877434135
2000,1.0063001145475372,1.0131729667812142,1.0063001145475372,1.0120274914089347,1.024627720504009,1.0189003436426116,1.0830469644902634,1.029209621993127,1.0,1.2623138602520045,1.0455899198167238
