Year,Winter Barley,Spring Barley,Winter Wheat,Spring Wheat,Silage Maize,White Potato,Oat,Dry Pea,Winter Rape,Spring Rape,Overall
1979,0.22909507445589922,0.057273768613974804,0.22909507445589922,0.057273768613974804,0.057273768613974804,3.379152348224513,1.3172966781214204,0.057273768613974804,0.0,9.163802978235967,1.4547537227949596
1980,0.11454753722794961,0.057273768613974804,0.11454753722794961,0.057273768613974804,0.057273768613974804,1.718213058419244,1.6609392898052693,0.11454753722794961,0.0,8.190148911798396,1.2084765177548682
1981,0.286368843069874,0.8018327605956471,0.286368843069874,0.7445589919816723,0.3436426116838488,8.018327605956472,6.987399770904926,0.8018327605956471,0.0,9.793814432989691,2.8064146620847654
1982,0.057273768613974804,0.11454753722794961,0.057273768613974804,0.11454753722794961,0.057273768613974804,0.1718213058419244,2.9209621993127146,0.11454753722794961,0.0,9.221076746849944,1.2829324169530356
1983,0.572737686139748,0.057273768613974804,0.572737686139748,0.057273768613974804,0.057273768613974804,0.572737686139748,2.004581901489118,0.057273768613974804,0.1718213058419244,8.991981672394044,1.311569301260023
1984,0.40091638029782356,0.1718213058419244,0.40091638029782356,0.11454753722794961,0.057273768613974804,1.145475372279496,2.2336769759450172,0.11454753722794961,0.057273768613974804,7.445589919816724,1.2142038946162657
1985,0.9163802978235969,0.057273768613974804,0.9163802978235969,0.057273768613974804,0.057273768613974804,4.982817869415808,2.691867124856816,0.057273768613974804,0.40091638029782356,8.705612829324169,1.8843069873997709
1986,0.0,0.057273768613974804,0.0,0.057273768613974804,0.057273768613974804,1.6036655211912942,2.978235967926689,0.057273768613974804,0.0,9.564719358533791,1.4375715922107672
1987,0.6872852233676976,0.057273768613974804,0.6872852233676976,0.057273768613974804,0.057273768613974804,0.859106529209622,4.29553264604811,0.057273768613974804,0.057273768613974804,9.221076746849944,1.6036655211912945
1988,0.9736540664375716,0.8018327605956471,0.9736540664375716,0.6300114547537228,0.40091638029782356,3.5509736540664374,5.956471935853378,0.7445589919816723,0.0,10.252004581901488,2.4284077892325313
1989,1.4891179839633446,0.22909507445589922,1.4891179839633446,0.1718213058419244,0.1718213058419244,2.348224513172967,7.101947308132875,0.1718213058419244,0.11454753722794961,10.652920962199312,2.3940435280641466
1990,0.22909507445589922,0.22909507445589922,0.22909507445589922,0.22909507445589922,0.22909507445589922,1.3745704467353952,2.8064146620847654,0.22909507445589922,0.11454753722794961,6.815578465063001,1.2485681557846506
1991,0.286368843069874,0.6300114547537228,0.286368843069874,0.6300114547537228,0.8018327605956471,2.290950744558992,4.982817869415808,0.6300114547537228,0.0,9.163802978235967,1.9702176403207332
1992,1.145475372279496,0.057273768613974804,1.088201603665521,0.057273768613974804,0.057273768613974804,2.86368843069874,2.176403207331042,0.11454753722794961,0.3436426116838488,10.538373424971363,1.8442153493699884
1993,0.6300114547537228,0.057273768613974804,0.6300114547537228,0.057273768613974804,0.057273768613974804,3.8373424971363117,5.040091638029782,0.057273768613974804,0.286368843069874,9.450171821305842,2.0103092783505154
1994,0.6872852233676976,0.22909507445589922,0.6872852233676976,0.1718213058419244,0.3436426116838488,6.5864833906071025,3.951890034364261,0.22909507445589922,0.11454753722794961,9.507445589919817,2.2508591065292096
1995,0.22909507445589922,0.057273768613974804,0.22909507445589922,0.057273768613974804,0.22909507445589922,2.7491408934707904,1.4891179839633446,0.11454753722794961,0.0,8.018327605956472,1.3172966781214204
1996,0.11454753722794961,0.22909507445589922,0.11454753722794961,0.22909507445589922,0.1718213058419244,0.9163802978235969,6.930126002290951,0.1718213058419244,0.0,9.278350515463918,1.8155784650630011
1997,0.11454753722794961,0.1718213058419244,0.11454753722794961,0.11454753722794961,0.22909507445589922,5.326460481099656,5.211912943871707,0.11454753722794961,0.0,9.736540664375717,2.11340206185567
1998,1.6036655211912942,0.22909507445589922,1.6036655211912942,0.22909507445589922,0.572737686139748,2.6345933562428407,5.441008018327606,0.22909507445589922,0.9163802978235969,11.626575028636884,2.508591065292096
1999,0.45819014891179843,0.3436426116838488,0.45819014891179843,0.22909507445589922,0.572737686139748,2.7491408934707904,4.581901489117984,0.40091638029782356,0.0,10.36655211912944,2.016036655211913
2000,0.22909507445589922,0.859106529209622,0.22909507445589922,0.859106529209622,1.145475372279496,1.2600229095074456,3.493699885452463,1.3745704467353952,0.0,10.481099656357388,1.993127147766323
2001,0.6300114547537228,0.859106529209622,0.6300114547537228,0.8018327605956471,1.145475372279496,0.9163802978235969,5.72737686139748,0.9163802978235969,0.057273768613974804,9.793814432989691,2.1477663230240553
2002,3.150057273768614,0.9163802978235969,2.86368843069874,0.9163802978235969,1.5463917525773196,10.939289805269187,10.137457044673539,0.859106529209622,0.22909507445589922,15.922107674684993,4.74799541809851
