crop,metric,units,slope,ci_lo,ci_hi,tau,p,significant,trend
Winter barley,mean_suitability,class yr⁻¹,0.0014417661943804674,0.0007362840481397157,0.0019528998120821482,0.5243589743589744,1.9695038599998327e-06,True,increasing
Winter barley,area_suitable_km2,km² yr⁻¹,119.40287282846631,63.12409894345911,160.30656885283284,0.5051282051282051,4.67524608960268e-06,True,increasing
Spring barley,mean_suitability,class yr⁻¹,0.0004350603577407963,0.0001225200402021035,0.0006785395839841792,0.46794871794871795,2.007129191183843e-05,True,increasing
Spring barley,area_suitable_km2,km² yr⁻¹,44.553678041339886,11.270463668882773,68.49973195506888,0.4666666666666667,2.125216295456589e-05,True,increasing
Winter wheat,mean_suitability,class yr⁻¹,0.001431844215349374,0.0007362840481397157,0.0019456753653825948,0.5256410256410257,1.8619057593483035e-06,True,increasing
Winter wheat,area_suitable_km2,km² yr⁻¹,117.62144284641599,62.874627086198686,158.59450993355176,0.5076923076923077,4.181344959386379e-06,True,increasing
Spring wheat,mean_suitability,class yr⁻¹,0.00043606164740185203,0.0001296976060721762,0.0006314482706503732,0.4641025641025641,2.3488274626393135e-05,True,increasing
Spring wheat,area_suitable_km2,km² yr⁻¹,42.578799993673954,11.365377020618757,65.91801701592391,0.44871794871794873,4.049246362280989e-05,True,increasing
Silage maize,mean_suitability,class yr⁻¹,0.00042955326460480947,0.00021477663230240474,0.0005554235311537697,0.5205128205128206,2.211820442354906e-06,True,increasing
Silage maize,area_suitable_km2,km² yr⁻¹,37.47887457834793,20.55818391105083,49.411974120679524,0.5192307692307693,2.053118459244274e-06,True,increasing
White potato,mean_suitability,class yr⁻¹,0.001374570446735394,0.00022860865847843523,0.002520045819014878,0.3141025641025641,0.004457654530960031,True,increasing
White potato,area_suitable_km2,km² yr⁻¹,198.16866368467203,39.41287017247982,339.580864110374,0.3128205128205128,0.004637351100469811,True,increasing
Spring oat,mean_suitability,class yr⁻¹,0.003426551329146428,0.0014475487019875765,0.004524637125063712,0.42435897435897435,0.00012050210960934393,True,increasing
Spring oat,area_suitable_km2,km² yr⁻¹,271.7289730108773,113.95832497404876,361.06946798088774,0.4358974358974359,7.824897101360584e-05,True,increasing
Dry pea,mean_suitability,class yr⁻¹,0.00041474108306671257,0.00013977526864124737,0.0006615567726231363,0.48846153846153845,8.837913692660848e-06,True,increasing
Dry pea,area_suitable_km2,km² yr⁻¹,42.36816006269963,14.22601663618734,56.53313672921589,0.48846153846153845,8.929879938834873e-06,True,increasing
Winter rapeseed,mean_suitability,class yr⁻¹,0.00014318442153495498,3.1367843698277074e-05,0.0002749213881031939,0.36923076923076925,0.0006805374741520875,True,increasing
Winter rapeseed,area_suitable_km2,km² yr⁻¹,12.86949842753053,2.919549198700613,21.51649518608703,0.36666666666666664,0.000744396927782498,True,increasing
Spring rapeseed,mean_suitability,class yr⁻¹,0.0029129237756475943,0.0019262334624627836,0.003306718905309935,0.5166666666666667,2.7723312754357465e-06,True,increasing
Spring rapeseed,area_suitable_km2,km² yr⁻¹,164.29158435957447,99.44141314620364,206.39604608750545,0.4897435897435897,9.035927379441588e-06,True,increasing
Overall,mean_suitability,class yr⁻¹,0.0012036440435282889,0.0007918892634530105,0.0017519531823655557,0.5794871794871795,1.483331582008418e-07,True,increasing
Overall,area_suitable_km2,km² yr⁻¹,99.14277560376428,61.40784261968761,140.92725896265085,0.5435897435897435,8.291100208612789e-07,True,increasing
