crop,mean_delta_yield_kg_ha,median_delta,pct_negative,pct_gt50_kg_ha,pct_lt_neg50_kg_ha
Winter Barley,1.994940161705017,0.0,0.0,1.5715467328370554,0.0
Spring Barley,0.9780420064926147,0.0,0.0,0.4524886877828055,0.0
Winter Wheat,1.9804517030715942,0.0,0.0,1.5715467328370554,0.0
Spring Wheat,0.9182671308517456,0.0,0.0,0.39592760180995473,0.0
Silage Maize,0.29709160327911377,0.0,2.2883926109732564,0.0,0.0
White Potato,0.12740787863731384,0.0,0.9374138406396471,0.0,0.0
Oat,0.2160377949476242,0.0,0.11028398125172319,0.0,0.0
Dry Pea,0.07482361793518066,0.0,0.056561085972850686,0.0,0.0
Winter Rape,0.022497570142149925,0.0,0.11312217194570137,0.0,0.0
Spring Rape,0.17601506412029266,0.0,1.7094017094017095,0.0,0.0
