crop,year,obs_mean_yield,cf_mean_yield
Spring Wheat,2006,6.7962413,
Spring Wheat,2007,1.1189849,
Spring Wheat,2008,0.531854,
Spring Wheat,2009,1.5034299,
Spring Wheat,2010,6.0505548,
Spring Wheat,2011,2.2814333,
Spring Wheat,2012,2.4670224,
Spring Wheat,2013,1.2137178,
Spring Wheat,2014,0.22898167,
Spring Wheat,2015,0.22674854,
Spring Wheat,2016,4.6787624,
Spring Wheat,2017,3.0555992,
Spring Wheat,2018,4.7372417,
Silage Maize,1979,0.1182515,0.1182515025138855
Silage Maize,1980,0.15357162,0.15357162058353424
Silage Maize,1981,0.54878247,0.548782467842102
Silage Maize,1982,0.110974796,0.11097479611635208
Silage Maize,1983,0.13749608,0.13749608397483826
Silage Maize,1984,0.10402481,0.10402481257915497
Silage Maize,1985,0.06609124,0.06609123945236206
Silage Maize,1986,0.1269959,0.12699590623378754
Silage Maize,1987,0.22005983,0.2200598269701004
Silage Maize,1988,0.57903725,0.5790372490882874
Silage Maize,1989,0.13015354,0.13015353679656982
Silage Maize,1990,0.37600404,0.37600404024124146
Silage Maize,1991,0.54239184,0.542391836643219
Silage Maize,1992,0.0839052,0.08390519767999649
Silage Maize,1993,0.03965475,0.039654750376939774
Silage Maize,1994,0.6098541,0.6098541021347046
Silage Maize,1995,0.3740296,0.37402960658073425
Silage Maize,1996,0.3228292,0.3228291869163513
Silage Maize,1997,0.27097678,0.2709767818450928
Silage Maize,1998,0.5184206,0.5184205770492554
Silage Maize,1999,0.4517815,
Silage Maize,2000,0.89713335,
Silage Maize,2001,1.9461312,
Silage Maize,2002,1.2453486,
Silage Maize,2003,1.1474158,
Silage Maize,2004,1.0132896,
Silage Maize,2005,1.1914362,
Silage Maize,2006,1.332483,
Silage Maize,2007,1.3868082,
Silage Maize,2008,0.30499953,
Silage Maize,2009,0.9078256,
Silage Maize,2010,2.3147142,
Silage Maize,2011,0.6996003,
Silage Maize,2012,0.7201508,
Silage Maize,2013,0.622994,
Silage Maize,2014,0.7986784,
Silage Maize,2015,0.55180806,
Silage Maize,2016,1.342964,
Silage Maize,2017,1.823841,
Silage Maize,2018,1.2636985,
White Potato,1979,0.5594498,0.5594497919082642
White Potato,1980,0.28698975,0.2869897484779358
White Potato,1981,0.80836076,0.808360755443573
White Potato,1982,0.28296232,0.2829623222351074
White Potato,1983,0.27389568,0.2738956809043884
White Potato,1984,0.2535594,0.253559410572052
White Potato,1985,0.5692462,0.5692461729049683
White Potato,1986,0.33033103,0.330331027507782
White Potato,1987,0.294174,0.2941739857196808
White Potato,1988,0.5192234,0.5192233920097351
White Potato,1989,0.4307598,0.4307597875595093
White Potato,1990,0.26893446,0.2689344584941864
White Potato,1991,0.40092066,0.40092065930366516
White Potato,1992,0.47516584,0.47516584396362305
White Potato,1993,0.5448245,0.544824481010437
White Potato,1994,0.7103777,0.7103776931762695
White Potato,1995,0.3412995,0.34129950404167175
White Potato,1996,0.31492427,0.3149242699146271
White Potato,1997,0.592571,0.5925710201263428
White Potato,1998,0.45796594,0.4579659402370453
White Potato,1999,0.47902972,
White Potato,2000,0.40836924,
White Potato,2001,0.3444965,
White Potato,2002,1.2666022,
White Potato,2003,0.58448285,
White Potato,2004,0.7486129,
White Potato,2005,0.55614626,
White Potato,2006,0.6441986,
White Potato,2007,0.71657896,
White Potato,2008,0.527907,
White Potato,2009,0.87279254,
White Potato,2010,0.98840505,
White Potato,2011,0.5556028,
White Potato,2012,0.5148261,
White Potato,2013,0.7818235,
White Potato,2014,0.36968705,
White Potato,2015,0.49329183,
White Potato,2016,1.4169395,
White Potato,2017,0.58791554,
White Potato,2018,0.95454264,
Oat,1979,0.3214011,0.32140108942985535
Oat,1980,0.471758,0.47175800800323486
Oat,1981,0.8716919,0.871691882610321
Oat,1982,0.83900696,0.8390069603919983
Oat,1983,0.5391312,0.539131224155426
Oat,1984,0.6064309,0.6064308881759644
Oat,1985,0.34294888,0.34294888377189636
Oat,1986,0.85883856,0.8588385581970215
Oat,1987,0.55765676,0.5576567649841309
Oat,1988,0.7890442,0.789044201374054
Oat,1989,0.82526505,0.8252650499343872
Oat,1990,0.33470494,0.3347049355506897
Oat,1991,0.69107765,0.6910776495933533
Oat,1992,0.6270239,0.6270238757133484
Oat,1993,0.5827867,0.5827866792678833
Oat,1994,0.5383786,0.5383785963058472
Oat,1995,0.3733809,0.3733808994293213
Oat,1996,0.86359805,0.8635980486869812
Oat,1997,0.6902908,0.6902908086776733
Oat,1998,0.7045665,0.704566478729248
Oat,1999,0.5735537,
Oat,2000,1.1602072,
Oat,2001,0.7703204,
Oat,2002,1.293514,
Oat,2003,0.8717514,
Oat,2004,1.2368948,
Oat,2005,1.2027481,
Oat,2006,1.2761359,
Oat,2007,0.41429025,
Oat,2008,0.57047594,
Oat,2009,1.2594734,
Oat,2010,1.1786567,
Oat,2011,0.7650259,
Oat,2012,0.76876026,
Oat,2013,1.0981283,
Oat,2014,0.44192886,
Oat,2015,0.4860812,
Oat,2016,1.1101294,
Oat,2017,1.0729665,
Oat,2018,1.4005336,
