crop,period,metric,obs_tau,obs_p,obs_slope,obs_trend,obs_significant,cf_tau,cf_p,cf_slope,cf_trend,cf_significant,slope_difference,boot_ci_lo,boot_ci_hi,boot_p,boot_sig,perm_ci_lo,perm_ci_hi,perm_p,perm_sig,obs_ci_lo,obs_ci_hi,cf_ci_lo,cf_ci_hi
Dry Pea,1979-2018,area_ge2_km2,0.488,0.0,42.36816,increasing,True,0.437,0.0001,29.221983,increasing,True,13.146177,-5.79131,5.919653,0.0,True,-11.663522,12.274069,0.03,True,,,,
Dry Pea,1999-2018,mean_suit,0.005,1.0,0.0,no trend,False,0.032,0.871,8.9e-05,no trend,False,-8.9e-05,-0.000465,0.000475,0.581,False,-0.000451,0.000408,0.737,False,,,,
Dry Pea,1999-2018,area_ge2_km2,0.053,0.7703,8.527287,no trend,False,0.032,0.8711,13.213903,no trend,False,-4.686616,-32.542739,31.027342,0.651,False,-36.098669,40.625634,0.812,False,,,,
Winter Rape,1979-2018,mean_suit,0.369,0.0007,0.000143,increasing,True,0.412,0.0001,0.000187,increasing,True,-4.4e-05,-5.7e-05,5.5e-05,0.086,False,-0.000137,0.000131,0.538,False,,,,
Winter Rape,1979-2018,area_ge2_km2,0.367,0.0007,12.869498,increasing,True,0.359,0.0009,14.143611,increasing,True,-1.274113,-4.019843,4.7205,0.192,False,-11.014703,11.041488,0.82,False,,,,
Winter Rape,1999-2018,mean_suit,0.232,0.1611,0.000273,no trend,False,0.353,0.0315,0.000573,increasing,True,-0.0003,-0.000481,0.000415,0.141,False,-0.000428,0.000459,0.348,False,,,,
Winter Rape,1999-2018,area_ge2_km2,0.242,0.1439,12.363385,no trend,False,0.289,0.0789,45.412073,no trend,False,-33.048688,-36.918847,41.239293,0.077,False,-40.882408,40.522617,0.191,False,,,,
Spring Rape,1979-2018,mean_suit,0.517,0.0,0.002913,increasing,True,0.431,0.0001,0.001658,increasing,True,0.001255,-0.000638,0.000662,0.002,True,-0.000765,0.000799,0.0,True,,,,
Spring Rape,1979-2018,area_ge2_km2,0.49,0.0,164.291584,increasing,True,0.246,0.0261,51.007342,increasing,True,113.284242,-57.501725,54.998015,0.0,True,-72.601326,66.799764,0.0,True,,,,
Spring Rape,1999-2018,mean_suit,0.095,0.5809,0.000481,no trend,False,-0.037,0.8454,-0.000123,no trend,False,0.000604,-0.002126,0.001985,0.451,False,-0.00321,0.003387,0.651,False,,,,
Spring Rape,1999-2018,area_ge2_km2,0.084,0.6265,61.558791,no trend,False,-0.042,0.8203,-8.912598,no trend,False,70.471389,-188.362331,180.25205,0.37,False,-250.135921,242.041041,0.547,False,,,,
OVERALL,1979-2018,mean_suit,0.579,0.0,0.001204,,True,0.546,0.0,0.001078,,True,0.000126,-0.000194,0.000207,0.185,False,-0.000211,0.000202,0.246,False,0.000792,0.001752,0.000586,0.001406
OVERALL,1979-2018,area_ge2_km2,0.544,0.0,99.142776,,True,0.518,0.0,86.104772,,True,13.038004,-18.41127,19.479999,0.133,False,-19.459489,19.400868,0.246,False,61.407843,140.927259,46.326772,113.706527
OVERALL,1999-2018,mean_suit,0.211,0.2058,0.000981,,False,0.147,0.381,0.000627,,False,0.000354,-0.000976,0.000865,0.397,False,-0.001071,0.000954,0.482,False,-0.000936,0.002419,-0.000525,0.00184
OVERALL,1999-2018,area_ge2_km2,0.179,0.2843,104.154378,,False,0.147,0.381,44.139497,,False,60.014881,-94.279346,86.507192,0.159,False,-95.09088,89.968176,0.321,False,-94.489135,196.456398,-39.04806,148.992066
