Year,Winter barley,Spring barley,Winter wheat,Spring wheat,Silage maize,White potato,Spring oat,Dry pea,Winter rapeseed,Spring rapeseed,Overall
1979,396.7994440855114,99.52316374984214,396.7994440855114,99.52316374984214,99.52316374984214,5830.616175892833,2281.5206672455943,99.52316374984214,0.0,15799.957992337204,2510.3786378646023
1980,198.01054925822908,99.39414523320055,198.01054925822908,99.39414523320055,99.52316374984214,2971.959498037495,2875.552314610726,198.9173089830427,0.0,14149.747721608659,2089.0509395972626
1981,495.80471871462595,1389.8235629870915,495.80471871462595,1290.5587390423361,595.4484466772019,13854.185528166901,12079.325225944474,1387.2226543292702,0.0,16922.634837546473,4851.080843212299
1982,99.00527462911454,198.9173089830427,99.00527462911454,198.9173089830427,99.52316374984214,295.7099396218019,5050.539601945866,198.9173089830427,0.0,15924.187772246976,2216.4722953771843
1983,993.6794804498442,99.52316374984214,993.6794804498442,99.52316374984214,99.52316374984214,992.639175240983,3474.76192713237,99.52316374984214,297.5346201407562,15534.180344976543,2268.456768338971
1984,694.7232372082223,298.5691880847099,694.7232372082223,198.9173089830427,99.52316374984214,1988.2527073837666,3865.993929528001,198.9173089830427,99.00527462911454,12868.41594071137,2100.7041296469333
1985,1589.1375909415076,99.52316374984214,1589.1375909415076,99.52316374984214,99.52316374984214,8615.010091051041,4660.451981199855,99.52316374984214,694.4636878925817,15047.585936396365,3259.3879533422223
1986,0.0,99.52316374984214,0.0,99.52316374984214,99.52316374984214,2777.8218233102352,5160.949563207944,99.52316374984214,0.0,16532.824442893856,2486.9688484411404
1987,1190.1393873017748,99.52316374984214,1190.1393873017748,99.52316374984214,99.52316374984214,1491.0348384211363,7438.150147994948,99.52316374984214,99.00527462911454,15939.086417349097,2774.5648107997213
1988,1687.4968670346898,1388.3919732999605,1687.4968670346898,1090.7322592196804,694.713270621957,6146.230727149915,10305.496927164742,1289.7782835545481,0.0,17715.858966761916,4200.61961418421
1989,2580.4886877768804,396.14468847386746,2580.4886877768804,297.5309987284551,297.5309987284551,4057.504144110717,12280.499174217495,297.5309987284551,198.01054925822908,18404.02356038007,4138.97524881795
1990,396.28094981511134,398.22106718637707,396.28094981511134,398.22106718637707,398.22106718637707,2376.4979550316007,4850.038178610117,398.22106718637707,198.01054925822908,11759.313156873015,2156.930600814869
1991,494.8955431312314,1092.2931701952566,494.8955431312314,1092.2931701952566,1389.1724287877487,3965.749164248842,8610.08715309142,1092.2931701952566,0.0,15843.537729216343,3407.5217072192586
1992,1986.3243933487474,99.52316374984214,1887.1891930703061,99.52316374984214,99.52316374984214,4960.45534177694,3771.1196846904277,198.9173089830427,595.0695426593811,18203.48856357523,3190.11335193536
1993,1092.684755078959,99.52316374984214,1092.684755078959,99.52316374984214,99.52316374984214,6632.1063383082555,8719.86913905251,99.52316374984214,495.80471871462595,16326.203548114565,3475.744590934724
1994,1190.5279559228482,398.22106718637707,1190.5279559228482,298.5691880847099,595.4484466772019,11382.500648607487,6837.490861099212,398.22106718637707,198.01054925822908,16425.26195142512,3891.477969137041
1995,395.6283096676473,99.52316374984214,395.6283096676473,99.52316374984214,395.36423298607934,4755.181099102825,2578.2760445679587,198.13685349525454,0.0,13857.581772302128,2277.4842949289223
1996,198.9173089830427,398.22106718637707,198.9173089830427,398.22106718637707,297.5309987284551,1577.11115279866,11985.679978809998,298.5691880847099,0.0,16033.140417159671,3138.6308487920332
1997,198.14047490755567,298.5691880847099,198.14047490755567,198.9173089830427,396.14468847386746,9206.400361416694,9007.521441425766,198.9173089830427,0.0,16827.784494179927,3653.053574136216
1998,2775.627639521048,397.18287783012227,2775.627639521048,397.18287783012227,979.3156747466517,4555.408463244484,9393.31450507436,396.14468847386746,1586.547847302488,20063.28976252001,4331.96419760642
1999,790.9877483036375,596.3615420939327,790.9877483036375,398.22106718637707,983.9674409901506,4733.015329687972,7911.929076299488,695.6263660386879,0.0,17900.658842101908,3480.1755161005785
2000,395.6301156162272,1489.8591719211781,395.6301156162272,1489.8591719211781,1975.828884919175,2182.242865228835,6045.518326225102,2385.435599047599,0.0,18101.450971899314,3446.1455222394834
2001,1091.133508311779,1490.5133278881076,1091.133508311779,1391.2485039433523,1980.0747157448823,1576.7954844520498,9899.059228067053,1586.7904915750355,99.00527462911454,16917.669367079776,3712.342341000293
2002,5449.528145753722,1582.2633587561343,4952.559537806699,1582.2633587561343,2653.0943651082316,18823.105924190695,17503.863745317765,1482.8692135229337,397.05899340115207,27353.3006327453,8177.990727535876
2003,4651.763213794195,1088.5165950098628,4651.763213794195,1088.5165950098628,1087.7397633007472,8104.539241082688,11861.045831917914,1087.7397633007472,1685.4186712937512,20553.48178371606,5586.052467222003
2004,4652.416771356156,1385.5321173099699,4652.416771356156,1187.3916424024144,1088.9090822714375,10781.376180391244,16606.58907403285,1385.5321173099699,694.9809726524281,20554.175698839994,6298.932042792261
