class,slope,ci_lo,ci_hi,tau,p,significant,trend
area_class_1_km2,-99.14277417582375,-140.9272586220228,-61.407843727454456,-0.5435897435897435,8.291100208612789e-07,True,decreasing
area_class_2_km2,27.97955884848485,12.357353567708333,40.25408409340659,0.4307692307692308,9.496978488710006e-05,True,increasing
area_class_3_km2,38.130482,19.833636309523804,59.193188824999986,0.5102564102564102,3.7376663761801154e-06,True,increasing
area_class_4_km2,27.42907375366569,17.314232301846587,34.84716090277777,0.5615384615384615,3.5523793195935127e-07,True,increasing
area_class_5_km2,7.402617708333333,4.236102098214286,9.933815773809513,0.49615384615384617,6.872334697316518e-06,True,increasing
