Year,Winter barley,Spring barley,Winter wheat,White potato,Spring oat,Spring rapeseed,Overall
1979,1.004581901489118,1.0011454753722795,1.004581901489118,1.061282932416953,1.0234822451317296,1.1827033218785796,1.0281786941580755
1980,1.002290950744559,1.0005727376861395,1.002290950744559,1.018327605956472,1.0349369988545247,1.175830469644903,1.0238258877434134
1981,1.0057273768613977,1.0131729667812142,1.0057273768613977,1.107101947308133,1.1466208476517754,1.218213058419244,1.0529209621993123
1982,1.0017182130584192,1.002290950744559,1.0017182130584192,1.002290950744559,1.0630011454753725,1.1781214203894617,1.0254868270332187
1983,1.0103092783505154,1.0011454753722795,1.0103092783505154,1.0057273768613977,1.0383734249713632,1.172966781214204,1.0245131729667811
1984,1.0074455899198167,1.002290950744559,1.0074455899198167,1.0120274914089349,1.0429553264604812,1.149484536082474,1.022737686139748
1985,1.0143184421534936,1.0011454753722795,1.0143184421534936,1.0664375715922108,1.0549828178694158,1.18213058419244,1.0341924398625428
1986,1.0,1.0011454753722795,1.0,1.0166093928980526,1.061282932416953,1.186139747995418,1.026975945017182
1987,1.0126002290950744,1.0011454753722795,1.0126002290950744,1.0085910652920962,1.0933562428407788,1.1827033218785796,1.031729667812142
1988,1.0194730813287514,1.0097365406643757,1.0194730813287514,1.041237113402062,1.1334478808705613,1.217640320733104,1.0467353951890033
1989,1.024627720504009,1.0028636884306987,1.024627720504009,1.0234822451317296,1.1265750286368843,1.2124856815578464,1.0424971363115692
1990,1.004581901489118,1.004581901489118,1.004581901489118,1.018327605956472,1.0538373424971363,1.147766323024055,1.0251431844215348
1991,1.006872852233677,1.0126002290950744,1.006872852233677,1.0280641466208476,1.122565864833906,1.2124856815578464,1.0432416953035508
1992,1.020045819014891,1.0011454753722795,1.0194730813287514,1.0309278350515465,1.04581901489118,1.2079037800687284,1.033676975945017
1993,1.011454753722795,1.0011454753722795,1.0108820160366552,1.054410080183276,1.092210767468499,1.1827033218785796,1.036254295532646
1994,1.0126002290950744,1.0034364261168385,1.0126002290950744,1.0910652920962198,1.0950744558991985,1.2073310423825887,1.0440435280641465
1995,1.0040091638029782,1.0011454753722795,1.0040091638029782,1.0280641466208476,1.0280641466208476,1.1804123711340206,1.0254295532646047
1996,1.002290950744559,1.0028636884306987,1.002290950744559,1.009163802978236,1.145475372279496,1.20446735395189,1.0375715922107671
1997,1.0017182130584192,1.002290950744559,1.0017182130584192,1.065864833906071,1.1208476517754868,1.2142038946162657,1.0415807560137456
1998,1.0280641466208476,1.0040091638029782,1.0280641466208476,1.0274914089347078,1.1197021764032071,1.2846506300114549,1.0532646048109966
1999,1.0074455899198167,1.004581901489118,1.0074455899198167,1.029209621993127,1.09049255441008,1.2222222222222223,1.038258877434135
2000,1.0063001145475372,1.0131729667812142,1.0063001145475372,1.0189003436426116,1.0830469644902634,1.2623138602520043,1.0455899198167238
2001,1.011454753722795,1.0120274914089349,1.011454753722795,1.0160366552119129,1.1305841924398623,1.2336769759450172,1.0467926689576177
2002,1.0721649484536082,1.0171821305841924,1.0693012600229097,1.1666666666666667,1.2079037800687284,1.3528064146620848,1.095589919816724
2003,1.052119129438717,1.0120274914089349,1.052119129438717,1.049828178694158,1.145475372279496,1.2617411225658648,1.063230240549828
2004,1.0475372279495991,1.013745704467354,1.0475372279495991,1.081328751431844,1.2056128293241697,1.263459335624284,1.0710767468499427
2005,1.0899198167239403,1.0131729667812142,1.088201603665521,1.0372279495990837,1.2004581901489118,1.2800687285223369,1.076918671248568
2006,1.0526918671248569,1.0601374570446735,1.0526918671248569,1.0664375715922108,1.2153493699885451,1.263459335624284,1.083906071019473
2007,1.0194730813287514,1.009163802978236,1.0189003436426116,1.070446735395189,1.072737686139748,1.2915234822451318,1.052233676975945
2008,1.0315005727376862,1.0040091638029782,1.0315005727376862,1.0274914089347078,1.0990836197021765,1.2989690721649485,1.0513745704467354
2009,1.034364261168385,1.0097365406643757,1.034364261168385,1.102520045819015,1.2061855670103092,1.2806414662084764,1.0710194730813285
2010,1.0492554410080184,1.050400916380298,1.0492554410080184,1.1311569301260025,1.1970217640320733,1.2754868270332187,1.091237113402062
2011,1.0492554410080184,1.0171821305841924,1.0492554410080184,1.0618556701030928,1.131729667812142,1.18213058419244,1.0550400916380296
2012,1.018327605956472,1.018327605956472,1.018327605956472,1.0469644902634594,1.1300114547537228,1.2124856815578464,1.0514318442153492
2013,1.0143184421534936,1.0074455899198167,1.0143184421534936,1.1036655211912945,1.1867124856815578,1.238831615120275,1.059392898052692
2014,1.0400916380297824,1.0017182130584192,1.0400916380297824,1.0126002290950744,1.0761741122565864,1.2222222222222223,1.0416380297823598
2015,1.0509736540664376,1.0017182130584192,1.050400916380298,1.024054982817869,1.0841924398625429,1.2731958762886595,1.049770904925544
2016,1.0715922107674685,1.0349369988545247,1.0715922107674685,1.220504009163803,1.1741122565864834,1.2783505154639174,1.092840778923253
2017,1.072737686139748,1.024627720504009,1.0721649484536082,1.0469644902634594,1.1764032073310424,1.2697594501718212,1.0727376861397482
2018,1.1254295532646048,1.0337915234822452,1.120274914089347,1.1174112256586484,1.2256586483390608,1.282359679266896,1.100057273768614
