variable,tau,p,slope_per_yr,significant,trend,bootstrap_ci_lo,bootstrap_ci_hi
TempMean,0.587,0.0,0.0488,True,increasing,0.0348,0.0593
Precip,0.462,0.0,3.0778,True,increasing,2.0043,3.8653
