crop,variable,spearman_r,p_value,significant,n_pixels
Winter barley,Active layer thickness,-0.1499,0.0,True,1746
Winter barley,Available soil moisture,-0.1792,0.0,True,1746
Spring barley,Active layer thickness,-0.1333,0.0,True,1746
Spring barley,Available soil moisture,-0.1624,0.0,True,1746
Winter wheat,Active layer thickness,-0.1835,0.0,True,1746
Winter wheat,Available soil moisture,-0.2194,0.0,True,1746
Spring wheat,Active layer thickness,-0.1415,0.0,True,1746
Spring wheat,Available soil moisture,-0.1714,0.0,True,1746
Silage maize,Active layer thickness,0.0451,0.0598,False,1746
Silage maize,Available soil moisture,0.0611,0.0107,True,1746
White potato,Active layer thickness,0.2737,0.0,True,1746
White potato,Available soil moisture,0.2477,0.0,True,1746
Spring oat,Active layer thickness,-0.0239,0.3173,False,1746
Spring oat,Available soil moisture,0.0079,0.7429,False,1746
Dry pea,Active layer thickness,0.0,1.0,False,1746
Dry pea,Available soil moisture,0.0212,0.3761,False,1746
Winter rapeseed,Active layer thickness,-0.1646,0.0,True,1746
Winter rapeseed,Available soil moisture,-0.2238,0.0,True,1746
Spring rapeseed,Active layer thickness,0.1779,0.0,True,1746
Spring rapeseed,Available soil moisture,0.1962,0.0,True,1746
Overall,Active layer thickness,0.0741,0.0019,True,1746
Overall,Available soil moisture,0.1043,0.0,True,1746
