row,col,mean_delta_suitability,mean_ALT_m,mean_soil_moisture_mm
0,18,0.0,3.180000066757202,192.78274323355342
0,19,0.0,1.3840000122785567,56.72206091323612
0,29,0.07499999999999998,3.180000066757202,351.40995518778925
0,30,-0.09750000000000003,3.180000066757202,264.761497131794
0,31,0.0,3.180000066757202,290.90149863915855
0,34,0.0,3.180000066757202,234.12257656666134
0,35,0.0,2.1759999454021455,84.00575186455316
0,36,0.0,3.180000066757202,238.84357622036774
0,37,0.0,3.180000066757202,169.0962015063399
1,16,0.0,3.180000066757202,176.36282259538294
1,17,0.0,2.295999935269356,82.54862579775097
1,18,0.0,2.271999937295914,83.66821013086575
1,19,0.0,1.6479999899864197,53.78952058747459
1,20,0.0,2.2239999413490295,84.91813208066814
1,21,-0.002499999999999991,3.180000066757202,211.12546760464338
1,22,-0.010000000000000009,3.180000066757202,309.7418704167484
1,23,-0.0050000000000000044,3.180000066757202,330.56115157114743
1,24,0.0,3.180000066757202,321.81147059960006
1,25,0.0,3.180000066757202,204.56146446284993
1,26,0.0,3.158500063419342,198.4663833176248
1,27,0.0,3.180000066757202,148.83456245679633
1,28,0.0,3.1155000567436217,145.17630992755107
1,29,0.004999999999999982,3.180000066757202,165.67088295575508
1,30,0.010000000000000009,3.180000066757202,158.6876859825553
1,31,-0.020000000000000018,3.180000066757202,180.01307052410556
1,32,0.0,1.3600000143051147,34.96626984614641
1,34,0.0,3.180000066757202,187.52671379100076
1,35,0.0,3.180000066757202,207.58951747658702
1,36,0.0,3.180000066757202,160.73565540313115
1,37,0.0,1.3600000143051147,42.375725581351034
1,38,0.0,3.180000066757202,122.00291797490493
1,39,0.0,2.319999933242798,82.48599926004428
1,40,0.0,3.180000066757202,258.1008200543725
1,41,0.0,3.180000066757202,227.17245971581048
1,42,0.0,3.180000066757202,127.7026396478653
2,14,0.0,3.180000066757202,181.63890404052893
2,15,0.0,3.180000066757202,132.7385088569091
2,16,0.0,1.334000012278557,48.66669105156901
2,17,0.0,1.3600000143051147,51.81366785843144
2,18,0.0,1.3600000143051147,47.0020698447648
2,19,0.0,1.3600000143051147,52.45643869040981
2,20,0.0,1.3600000143051147,90.50477079374801
2,21,0.0,1.3600000143051147,97.04169965983532
