,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,136125.6,58.5,120.9,152.1,58.5,7.800000000000001
CF_1,11.7,109.19999999999999,0.0,0.0,0.0,0.0
CF_2,27.299999999999997,0.0,409.5,0.0,0.0,0.0
CF_3,50.7,0.0,0.0,588.9,0.0,0.0
CF_4,109.19999999999999,0.0,0.0,0.0,70.2,0.0
CF_5,0.0,0.0,0.0,0.0,0.0,3.9000000000000004
