,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,135552.3,241.8,97.5,148.2,54.599999999999994,42.900000000000006
CF_1,39.0,737.0999999999999,0.0,0.0,0.0,0.0
CF_2,11.7,0.0,253.5,0.0,0.0,0.0
CF_3,19.5,0.0,0.0,425.1,0.0,0.0
CF_4,15.600000000000001,0.0,0.0,0.0,218.39999999999998,0.0
CF_5,27.299999999999997,0.0,0.0,0.0,0.0,19.5
