,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,118911.0,475.79999999999995,787.8,1380.6,721.5,214.5
CF_1,202.8,1232.4,0.0,0.0,0.0,0.0
CF_2,234.0,0.0,2538.8999999999996,3.9000000000000004,0.0,0.0
CF_3,253.5,0.0,0.0,5019.299999999999,50.7,0.0
CF_4,144.3,0.0,0.0,0.0,3958.5,3.9000000000000004
CF_5,573.3,0.0,0.0,0.0,3.9000000000000004,1193.4
