,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,132327.0,304.2,308.1,503.1,273.0,109.19999999999999
CF_1,534.3,932.0999999999999,0.0,0.0,0.0,0.0
CF_2,163.8,0.0,429.0,7.800000000000001,0.0,0.0
CF_3,456.29999999999995,0.0,0.0,947.7,7.800000000000001,0.0
CF_4,136.5,0.0,0.0,3.9000000000000004,335.4,3.9000000000000004
CF_5,50.7,0.0,0.0,0.0,0.0,70.2
