,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,132327.0,347.1,273.0,503.1,265.2,109.19999999999999
CF_1,557.7,936.0,0.0,0.0,0.0,0.0
CF_2,140.4,0.0,429.0,3.9000000000000004,0.0,0.0
CF_3,460.20000000000005,0.0,0.0,963.3,7.800000000000001,0.0
CF_4,132.6,0.0,0.0,0.0,323.70000000000005,7.800000000000001
CF_5,50.7,0.0,0.0,0.0,0.0,66.3
