,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,126328.79999999999,530.4,596.7,709.8,425.1,117.0
CF_1,159.89999999999998,507.0,0.0,0.0,0.0,0.0
CF_2,241.8,0.0,1743.3000000000002,7.800000000000001,0.0,0.0
CF_3,241.8,0.0,0.0,3506.1000000000004,7.800000000000001,0.0
CF_4,206.7,0.0,0.0,0.0,1813.5,0.0
CF_5,81.9,0.0,0.0,0.0,0.0,678.5999999999999
