crop,period,metric,obs_tau,obs_p,obs_slope,obs_trend,obs_significant,cf_tau,cf_p,cf_slope,cf_trend,cf_significant,slope_difference
Oat,1999-2018,mean_yield_kg_ha,-0.095,0.5813,-0.0559,no trend,False,-0.242,0.1443,-0.0919,no trend,False,0.036
Oat,1999-2018,total_yield_tonnes,0.032,0.8711,120.4624,no trend,False,0.011,0.9741,10.7057,no trend,False,109.7567
Oat,1999-2018,suitable_area_km2,0.089,0.6035,127.5,no trend,False,0.047,0.7951,45.5,no trend,False,82.0
Dry Pea,1979-2018,mean_yield_kg_ha,-0.29,0.0088,-0.1559,decreasing,True,-0.251,0.0231,-0.1289,decreasing,True,-0.027
Dry Pea,1979-2018,total_yield_tonnes,0.485,0.0,71.6572,increasing,True,0.428,0.0001,48.5513,increasing,True,23.1059
Dry Pea,1979-2018,suitable_area_km2,0.501,0.0,43.7775,increasing,True,0.455,0.0,31.2,increasing,True,12.5775
Dry Pea,1999-2018,mean_yield_kg_ha,-0.095,0.5813,-0.0863,no trend,False,0.084,0.6265,0.0562,no trend,False,-0.1425
Dry Pea,1999-2018,total_yield_tonnes,0.074,0.6732,36.953,no trend,False,0.053,0.7703,24.0946,no trend,False,12.8584
Dry Pea,1999-2018,suitable_area_km2,0.105,0.5366,30.225,no trend,False,0.074,0.6724,29.25,no trend,False,0.975
Winter Rape,1979-2018,mean_yield_kg_ha,0.103,0.4325,0.1575,no trend,False,0.069,0.6125,0.0806,no trend,False,0.0769
Winter Rape,1979-2018,total_yield_tonnes,0.386,0.0004,24.7633,increasing,True,0.406,0.0002,28.0149,increasing,True,-3.2516
Winter Rape,1979-2018,suitable_area_km2,0.351,0.0013,11.1429,increasing,True,0.378,0.0005,11.1429,increasing,True,0.0
Winter Rape,1999-2018,mean_yield_kg_ha,0.228,0.1837,0.4142,no trend,False,0.059,0.7619,0.0953,no trend,False,0.3189
Winter Rape,1999-2018,total_yield_tonnes,0.211,0.2058,29.6609,no trend,False,0.3,0.0691,88.6422,no trend,False,-58.9813
Winter Rape,1999-2018,suitable_area_km2,0.111,0.5146,7.8,no trend,False,0.284,0.0807,33.7768,no trend,False,-25.9768
Spring Rape,1979-2018,mean_yield_kg_ha,0.3,0.0066,0.0551,increasing,True,0.418,0.0002,0.089,increasing,True,-0.0339
Spring Rape,1979-2018,total_yield_tonnes,0.495,0.0,422.4057,increasing,True,0.444,0.0001,261.9725,increasing,True,160.4332
Spring Rape,1979-2018,suitable_area_km2,0.462,0.0,143.9286,increasing,True,0.217,0.0501,44.5714,no trend,False,99.3572
Spring Rape,1999-2018,mean_yield_kg_ha,-0.105,0.5376,-0.0178,no trend,False,-0.032,0.8711,-0.0053,no trend,False,-0.0125
Spring Rape,1999-2018,total_yield_tonnes,0.021,0.9225,31.3151,no trend,False,-0.021,0.9225,-17.9378,no trend,False,49.2529
Spring Rape,1999-2018,suitable_area_km2,0.074,0.6729,47.4,no trend,False,-0.058,0.7451,-13.5909,no trend,False,60.9909
