,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,121633.2,530.4,475.8,721.5,483.6,167.7
CF_1,163.8,495.3,7.8,0.0,0.0,0.0
CF_2,198.9,0.0,1493.7,39.0,0.0,0.0
CF_3,241.8,0.0,46.8,2737.8,50.7,0.0
CF_4,234.0,0.0,0.0,93.6,2297.1,27.3
CF_5,93.6,0.0,0.0,0.0,23.4,951.6
