,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,42272.1,74.1,58.5,97.5,54.6,46.8
CF_1,19.5,265.2,7.8,0.0,0.0,0.0
CF_2,7.8,11.7,241.8,54.6,0.0,0.0
CF_3,31.2,0.0,0.0,179.4,50.7,0.0
CF_4,81.9,0.0,0.0,11.7,175.5,23.4
CF_5,35.1,0.0,0.0,0.0,7.8,183.3
