,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,118911.0,475.8,659.1,1290.9,842.4,312.0
CF_1,210.6,1228.5,7.8,0.0,0.0,0.0
CF_2,179.4,0.0,2035.8,27.3,0.0,0.0
CF_3,284.7,0.0,31.2,3981.9,89.7,0.0
CF_4,132.6,0.0,0.0,54.6,4886.7,3.9
CF_5,600.6,0.0,0.0,0.0,27.3,1630.2
