,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,55785.6,191.1,70.2,144.3,78.0,42.9
CF_1,39.0,721.5,23.4,0.0,0.0,0.0
CF_2,7.8,0.0,113.1,23.4,0.0,0.0
CF_3,19.5,0.0,39.0,218.4,11.7,0.0
CF_4,7.8,0.0,3.9,35.1,234.0,0.0
CF_5,39.0,0.0,0.0,15.6,15.6,198.9
