,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,119819.7,1306.5,1435.2,401.7,167.7,113.1
CF_1,386.1,4219.8,109.2,0.0,0.0,0.0
CF_2,440.7,444.6,4516.2,85.8,0.0,0.0
CF_3,159.9,0.0,163.8,2199.6,58.5,0.0
CF_4,198.9,0.0,0.0,230.1,912.6,27.3
CF_5,124.8,0.0,0.0,7.8,89.7,284.7
