,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,38547.6,54.6,19.5,35.1,35.1,85.8
CF_1,156.0,62.4,19.5,0.0,7.8,0.0
CF_2,109.2,0.0,15.6,35.1,0.0,0.0
CF_3,89.7,0.0,0.0,0.0,11.7,7.8
CF_4,81.9,7.8,0.0,0.0,15.6,15.6
CF_5,101.4,0.0,0.0,3.9,3.9,70.2
