,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,94793.4,327.6,206.7,358.8,397.8,191.1
CF_1,577.2,932.1,50.7,0.0,0.0,0.0
CF_2,113.1,0.0,237.9,89.7,0.0,0.0
CF_3,226.2,0.0,23.4,401.7,148.2,3.9
CF_4,265.2,0.0,0.0,85.8,351.0,97.5
CF_5,144.3,0.0,0.0,0.0,50.7,265.2
