,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,42217.5,89.7,78.0,120.9,42.9,62.4
CF_1,23.4,198.9,54.6,0.0,0.0,0.0
CF_2,66.3,15.6,241.8,27.3,0.0,0.0
CF_3,15.6,0.0,27.3,226.2,31.2,0.0
CF_4,15.6,0.0,3.9,3.9,195.0,15.6
CF_5,78.0,0.0,0.0,7.8,15.6,117.0
