,Obs_0,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5
CF_0,94793.4,304.2,222.3,362.7,393.9,198.9
CF_1,553.8,932.1,50.7,0.0,0.0,0.0
CF_2,128.7,0.0,222.3,89.7,0.0,0.0
CF_3,234.0,0.0,35.1,397.8,156.0,3.9
CF_4,265.2,0.0,0.0,74.1,358.8,89.7
CF_5,144.3,0.0,0.0,0.0,54.6,273.0
