year,permafrost_class,soil_moisture_awc,yield_change
1979,0,7,0
1980,0,1,0
1981,0,1,1
1983,0,1,2
1985,0,1,0
1987,0,3,0
1988,0,0,1
1990,0,0,2
1991,0,2,7
1992,0,0,4
1993,0,0,2
1995,0,1,0
1996,0,0,3
1997,3,2,16
1998,12,2,5
1999,0,1,5
2000,0,2,15
2001,0,1,13
2002,1,11,14
2003,0,4,3
2004,0,0,4
2005,0,0,5
2006,1,8,13
2007,0,8,6
2008,2,0,25
2009,0,0,5
2010,3,25,42
2011,0,1,6
2012,0,0,13
2013,1,0,3
2014,1,3,1
2015,0,1,2
2016,0,0,2
2017,0,11,18
2018,0,1,5
