year,mean_suit_A,mean_suit_B,diff_mean_suit,pct_ge2_A,pct_ge2_B,diff_pct_ge2,n_pixels,n_agree,pct_agree,n_differ,n_A_higher,n_B_higher
1999,1.0910652920962198,1.088201603665521,0.00286368843069873,4.238258877434135,4.123711340206185,0.11454753722795008,1746,1738,99.54,8,6,2
2000,1.0693012600229095,1.0675830469644902,0.0017182130584192379,3.150057273768614,3.0355097365406642,0.11454753722794964,1746,1738,99.54,8,5,3
2001,1.1890034364261168,1.197594501718213,-0.00859106529209619,8.648339060710194,8.705612829324169,-0.057273768613974596,1746,1729,99.03,17,1,16
2002,1.1701030927835052,1.1758304696449027,-0.00572737686139746,7.846506300114547,7.961053837342496,-0.11454753722794919,1746,1736,99.43,10,0,10
2003,1.1603665521191295,1.1483390607101946,0.012027491408934887,7.445589919816724,6.643757159221077,0.801832760595647,1746,1718,98.4,28,22,6
2004,1.1237113402061856,1.1231386025200458,0.000572737686139746,5.899198167239404,5.899198167239404,0.0,1746,1741,99.71,5,3,2
2005,1.1557846506300113,1.1701030927835052,-0.014318442153493871,7.560137457044673,7.617411225658649,-0.057273768613975484,1746,1721,98.57,25,0,25
2006,1.1912943871706758,1.193012600229095,-0.0017182130584192379,8.132875143184421,8.132875143184421,0.0,1746,1739,99.6,7,2,5
2007,1.1260022909507446,1.0859106529209621,0.04009163802978244,4.925544100801833,3.379152348224513,1.5463917525773199,1746,1716,98.28,30,30,0
2008,1.134020618556701,1.1197021764032073,0.014318442153493649,6.013745704467354,5.211912943871707,0.801832760595647,1746,1719,98.45,27,19,8
2009,1.193012600229095,1.1993127147766323,-0.006300114547537206,9.793814432989691,9.851088201603666,-0.057273768613974596,1746,1733,99.26,13,1,12
2010,1.0899198167239403,1.0962199312714778,-0.006300114547537428,5.097365406643757,5.040091638029782,0.057273768613974596,1746,1731,99.14,15,2,13
2011,1.0967926689576175,1.0945017182130585,0.002290950744558984,4.352806414662084,4.18098510882016,0.17182130584192468,1746,1741,99.71,5,3,2
2012,1.1288659793814433,1.129438717067583,-0.000572737686139746,6.529209621993128,6.529209621993128,0.0,1746,1731,99.14,15,7,8
2013,1.1655211912943872,1.1918671248568156,-0.026345933562428314,8.190148911798396,8.190148911798396,0.0,1746,1700,97.37,46,0,46
2014,1.0910652920962198,1.0733104238258877,0.017754868270332125,4.753722794959908,3.493699885452463,1.2600229095074456,1746,1711,98.0,35,26,9
2015,1.0910652920962198,1.079610538373425,0.01145475372279492,3.8946162657502863,3.608247422680412,0.2863688430698743,1746,1731,99.14,15,14,1
2016,1.1672394043528065,1.168384879725086,-0.001145475372279492,8.304696449026345,8.304696449026345,0.0,1746,1728,98.97,18,8,10
2017,1.156930126002291,1.1609392898052693,-0.004009163802978222,7.617411225658649,7.674684994272623,-0.057273768613974596,1746,1725,98.8,21,7,14
2018,1.1701030927835052,1.1672394043528065,0.00286368843069873,7.674684994272623,7.617411225658649,0.057273768613974596,1746,1741,99.71,5,5,0
