year,crop,mean_delta,pct_positive,pct_negative
1999,Winter Barley,0.007352941176470588,0.9615384615384616,0.16968325791855204
2000,Winter Barley,-0.003393665158371041,0.11312217194570137,0.5090497737556561
2001,Winter Barley,-0.022058823529411766,0.22624434389140274,1.414027149321267
2002,Winter Barley,0.08201357466063348,2.7149321266968327,0.056561085972850686
2003,Winter Barley,0.00904977375565611,1.3009049773755657,0.904977375565611
2004,Winter Barley,0.038461538461538464,1.809954751131222,0.11312217194570137
2005,Winter Barley,0.023755656108597284,1.9230769230769231,0.5090497737556561
2006,Winter Barley,-0.009615384615384616,0.6787330316742082,0.9615384615384616
2007,Winter Barley,-0.024321266968325792,0.2828054298642534,1.0746606334841629
2008,Winter Barley,-0.08144796380090498,0.11312217194570137,3.33710407239819
2009,Winter Barley,-0.07296380090497738,0.11312217194570137,3.8461538461538463
2010,Winter Barley,0.04072398190045249,1.3009049773755657,0.056561085972850686
2011,Winter Barley,0.02997737556561086,1.1877828054298643,0.16968325791855204
2012,Winter Barley,-0.005656108597285068,0.39592760180995473,0.904977375565611
2013,Winter Barley,-0.013574660633484163,0.11312217194570137,1.4705882352941175
2014,Winter Barley,0.011312217194570135,0.6787330316742082,0.6787330316742082
2015,Winter Barley,0.02997737556561086,1.8665158371040724,0.8484162895927602
2016,Winter Barley,-0.024886877828054297,0.6221719457013575,1.3009049773755657
2017,Winter Barley,0.02828054298642534,1.244343891402715,0.2828054298642534
2018,Winter Barley,0.10972850678733032,4.355203619909502,0.904977375565611
1999,Spring Barley,0.0,0.0,0.0
2000,Spring Barley,0.008484162895927601,0.3393665158371041,0.0
2001,Spring Barley,-0.016968325791855202,0.0,0.6221719457013575
2002,Spring Barley,0.00904977375565611,0.2828054298642534,0.0
2003,Spring Barley,0.010746606334841629,0.3393665158371041,0.0
2004,Spring Barley,0.013574660633484163,0.4524886877828055,0.0
2005,Spring Barley,0.006221719457013574,0.22624434389140274,0.0
2006,Spring Barley,-0.012443438914027148,0.0,0.4524886877828055
2007,Spring Barley,0.0022624434389140274,0.16968325791855204,0.11312217194570137
2008,Spring Barley,0.0,0.0,0.0
2009,Spring Barley,0.0,0.0,0.0
2010,Spring Barley,0.008484162895927601,1.809954751131222,0.9615384615384616
2011,Spring Barley,0.016402714932126698,0.5656108597285068,0.0
2012,Spring Barley,0.0,0.0,0.0
2013,Spring Barley,0.003393665158371041,0.22624434389140274,0.0
2014,Spring Barley,0.0,0.0,0.0
2015,Spring Barley,0.0,0.056561085972850686,0.056561085972850686
2016,Spring Barley,0.01414027149321267,0.39592760180995473,0.0
2017,Spring Barley,0.006787330316742082,0.5090497737556561,0.056561085972850686
2018,Spring Barley,-0.01583710407239819,0.39592760180995473,0.6221719457013575
1999,Winter Wheat,0.007352941176470588,0.9615384615384616,0.16968325791855204
2000,Winter Wheat,-0.003393665158371041,0.11312217194570137,0.5090497737556561
2001,Winter Wheat,-0.022058823529411766,0.22624434389140274,1.414027149321267
2002,Winter Wheat,0.07975113122171945,2.771493212669683,0.056561085972850686
2003,Winter Wheat,0.00904977375565611,1.3009049773755657,0.904977375565611
2004,Winter Wheat,0.038461538461538464,1.809954751131222,0.11312217194570137
2005,Winter Wheat,0.02319004524886878,1.9230769230769231,0.4524886877828055
2006,Winter Wheat,-0.009615384615384616,0.6787330316742082,0.9615384615384616
2007,Winter Wheat,-0.023755656108597284,0.2828054298642534,1.0746606334841629
2008,Winter Wheat,-0.08144796380090498,0.11312217194570137,3.33710407239819
2009,Winter Wheat,-0.07013574660633484,0.11312217194570137,3.8461538461538463
2010,Winter Wheat,0.04072398190045249,1.3009049773755657,0.056561085972850686
2011,Winter Wheat,0.02997737556561086,1.1877828054298643,0.16968325791855204
2012,Winter Wheat,-0.005656108597285068,0.39592760180995473,0.904977375565611
2013,Winter Wheat,-0.013574660633484163,0.11312217194570137,1.4705882352941175
2014,Winter Wheat,0.011312217194570135,0.6787330316742082,0.6787330316742082
2015,Winter Wheat,0.029411764705882353,1.8665158371040724,0.8484162895927602
2016,Winter Wheat,-0.024321266968325792,0.6221719457013575,1.3009049773755657
2017,Winter Wheat,0.02828054298642534,1.244343891402715,0.2828054298642534
2018,Winter Wheat,0.10520361990950226,4.298642533936651,0.904977375565611
1999,Spring Wheat,0.0,0.0,0.0
2000,Spring Wheat,0.008484162895927601,0.3393665158371041,0.0
2001,Spring Wheat,-0.016402714932126698,0.0,0.6221719457013575
2002,Spring Wheat,0.00904977375565611,0.2828054298642534,0.0
2003,Spring Wheat,0.011312217194570135,0.3393665158371041,0.0
2004,Spring Wheat,0.013009049773755657,0.4524886877828055,0.0
2005,Spring Wheat,0.006221719457013574,0.22624434389140274,0.0
2006,Spring Wheat,-0.010746606334841629,0.0,0.4524886877828055
2007,Spring Wheat,0.0016968325791855204,0.16968325791855204,0.11312217194570137
2008,Spring Wheat,0.0,0.0,0.0
2009,Spring Wheat,0.0,0.0,0.0
2010,Spring Wheat,0.01583710407239819,1.809954751131222,0.9615384615384616
2011,Spring Wheat,0.01753393665158371,0.5656108597285068,0.0
2012,Spring Wheat,0.0,0.0,0.0
2013,Spring Wheat,0.003393665158371041,0.22624434389140274,0.0
2014,Spring Wheat,0.0,0.0,0.0
2015,Spring Wheat,-0.0005656108597285068,0.056561085972850686,0.056561085972850686
2016,Spring Wheat,0.013574660633484163,0.39592760180995473,0.0
2017,Spring Wheat,0.006787330316742082,0.5090497737556561,0.056561085972850686
2018,Spring Wheat,-0.016402714932126698,0.39592760180995473,0.6221719457013575
1999,Silage Maize,0.003959276018099547,0.11312217194570137,0.11312217194570137
2000,Silage Maize,0.01753393665158371,0.8484162895927602,0.0
2001,Silage Maize,0.0,0.0,0.0
2002,Silage Maize,0.03506787330316742,1.1877828054298643,0.0
2003,Silage Maize,0.005656108597285068,0.22624434389140274,0.0
2004,Silage Maize,0.010746606334841629,0.39592760180995473,0.0
2005,Silage Maize,0.003393665158371041,0.11312217194570137,0.0
2006,Silage Maize,-0.013009049773755657,0.056561085972850686,0.4524886877828055
2007,Silage Maize,0.008484162895927601,0.2828054298642534,0.0
2008,Silage Maize,0.01414027149321267,1.414027149321267,0.0
2009,Silage Maize,0.0,0.0,0.0
2010,Silage Maize,0.0333710407239819,2.1493212669683257,0.4524886877828055
2011,Silage Maize,0.009615384615384616,0.4524886877828055,0.0
2012,Silage Maize,0.0011312217194570137,0.11312217194570137,0.0
2013,Silage Maize,-0.007918552036199095,0.0,0.4524886877828055
2014,Silage Maize,0.002828054298642534,0.22624434389140274,0.16968325791855204
2015,Silage Maize,0.003959276018099547,0.11312217194570137,0.0
2016,Silage Maize,0.005090497737556561,0.16968325791855204,0.0
2017,Silage Maize,0.010180995475113122,0.6221719457013575,0.0
2018,Silage Maize,0.0,0.0,0.0
1999,White Potato,-0.041289592760180995,2.2058823529411766,5.316742081447964
2000,White Potato,0.026583710407239818,2.5452488687782804,0.5656108597285068
2001,White Potato,-0.01753393665158371,0.6787330316742082,1.809954751131222
2002,White Potato,0.08540723981900453,5.03393665158371,0.22624434389140274
2003,White Potato,0.03619909502262444,2.7149321266968327,0.16968325791855204
2004,White Potato,0.06447963800904978,4.524886877828054,0.056561085972850686
2005,White Potato,0.019230769230769232,3.2805429864253397,0.7352941176470588
2006,White Potato,0.010180995475113122,2.0361990950226243,1.0180995475113122
2007,White Potato,0.02092760180995475,2.4321266968325794,0.8484162895927602
2008,White Potato,0.026583710407239818,3.4502262443438916,0.7352941176470588
2009,White Potato,0.033936651583710405,1.753393665158371,0.0
2010,White Potato,0.041289592760180995,4.751131221719457,1.1312217194570136
2011,White Potato,0.003959276018099547,1.9796380090497736,1.9230769230769231
2012,White Potato,0.013009049773755657,1.583710407239819,0.6221719457013575
2013,White Potato,-0.0016968325791855204,1.0180995475113122,1.1312217194570136
2014,White Potato,0.0011312217194570137,1.244343891402715,1.0180995475113122
2015,White Potato,0.022058823529411766,2.658371040723982,1.244343891402715
2016,White Potato,0.048642533936651584,1.8665158371040724,0.3393665158371041
2017,White Potato,0.03167420814479638,2.7149321266968327,0.16968325791855204
2018,White Potato,-0.01753393665158371,2.3755656108597285,1.4705882352941175
1999,Oat,0.009615384615384616,1.6402714932126699,0.6787330316742082
2000,Oat,0.024321266968325792,1.1877828054298643,0.5090497737556561
2001,Oat,-0.10633484162895927,0.2828054298642534,4.298642533936651
2002,Oat,0.06165158371040724,3.1108597285067874,0.11312217194570137
2003,Oat,0.002828054298642534,1.583710407239819,1.0180995475113122
2004,Oat,0.12726244343891402,4.6945701357466065,0.11312217194570137
2005,Oat,0.05429864253393665,2.48868778280543,0.056561085972850686
2006,Oat,0.03506787330316742,2.2058823529411766,0.904977375565611
2007,Oat,-0.018665158371040724,0.16968325791855204,0.7352941176470588
2008,Oat,-0.031108597285067874,0.056561085972850686,1.1312217194570136
2009,Oat,0.007918552036199095,0.7352941176470588,0.5090497737556561
2010,Oat,0.1515837104072398,5.260180995475113,0.056561085972850686
2011,Oat,0.05486425339366516,1.809954751131222,0.0
2012,Oat,-0.0011312217194570137,0.6221719457013575,0.7918552036199095
2013,Oat,-0.005090497737556561,0.904977375565611,0.8484162895927602
2014,Oat,0.0011312217194570137,0.22624434389140274,0.3393665158371041
2015,Oat,0.005656108597285068,0.5090497737556561,0.39592760180995473
2016,Oat,0.010180995475113122,1.1877828054298643,0.7352941176470588
2017,Oat,0.02997737556561086,1.6402714932126699,0.16968325791855204
2018,Oat,0.10067873303167421,4.411764705882353,0.11312217194570137
1999,Dry Pea,0.0,0.0,0.0
2000,Dry Pea,0.00904977375565611,0.2828054298642534,0.0
2001,Dry Pea,-0.011312217194570135,0.0,0.4524886877828055
2002,Dry Pea,0.005656108597285068,0.22624434389140274,0.0
2003,Dry Pea,0.011877828054298642,0.3393665158371041,0.0
2004,Dry Pea,0.01583710407239819,0.4524886877828055,0.0
2005,Dry Pea,0.007918552036199095,0.2828054298642534,0.0
2006,Dry Pea,-0.015271493212669683,0.0,0.4524886877828055
2007,Dry Pea,0.007918552036199095,0.2828054298642534,0.056561085972850686
2008,Dry Pea,0.0,0.0,0.0
2009,Dry Pea,0.0,0.0,0.0
2010,Dry Pea,0.0016968325791855204,1.4705882352941175,0.904977375565611
2011,Dry Pea,0.016968325791855202,0.5090497737556561,0.0
2012,Dry Pea,0.0,0.0,0.0
2013,Dry Pea,-0.0005656108597285068,0.11312217194570137,0.056561085972850686
2014,Dry Pea,0.0016968325791855204,0.056561085972850686,0.0
2015,Dry Pea,0.0011312217194570137,0.056561085972850686,0.0
2016,Dry Pea,0.005656108597285068,0.22624434389140274,0.0
2017,Dry Pea,0.005090497737556561,0.39592760180995473,0.056561085972850686
2018,Dry Pea,-0.01809954751131222,0.16968325791855204,0.5656108597285068
1999,Winter Rape,0.0,0.0,0.0
2000,Winter Rape,0.0,0.0,0.0
2001,Winter Rape,-0.0016968325791855204,0.0,0.056561085972850686
2002,Winter Rape,0.002828054298642534,0.22624434389140274,0.11312217194570137
2003,Winter Rape,0.015271493212669683,0.6221719457013575,0.056561085972850686
2004,Winter Rape,0.006787330316742082,0.2828054298642534,0.056561085972850686
2005,Winter Rape,0.004524886877828055,0.39592760180995473,0.2828054298642534
2006,Winter Rape,0.009615384615384616,0.4524886877828055,0.056561085972850686
2007,Winter Rape,-0.0005656108597285068,0.11312217194570137,0.056561085972850686
2008,Winter Rape,-0.03506787330316742,0.0,1.3574660633484164
2009,Winter Rape,-0.06391402714932126,0.11312217194570137,2.997737556561086
2010,Winter Rape,-0.005656108597285068,0.0,0.16968325791855204
2011,Winter Rape,-0.0011312217194570137,0.056561085972850686,0.056561085972850686
2012,Winter Rape,-0.004524886877828055,0.0,0.22624434389140274
2013,Winter Rape,-0.00904977375565611,0.056561085972850686,0.6787330316742082
2014,Winter Rape,0.012443438914027148,0.39592760180995473,0.0
2015,Winter Rape,-0.011312217194570135,0.056561085972850686,0.39592760180995473
2016,Winter Rape,-0.008484162895927601,0.22624434389140274,0.5656108597285068
2017,Winter Rape,0.0016968325791855204,0.056561085972850686,0.0
2018,Winter Rape,-0.011877828054298642,0.39592760180995473,0.8484162895927602
1999,Spring Rape,-0.1425339366515837,1.583710407239819,6.561085972850679
2000,Spring Rape,0.08484162895927602,2.48868778280543,0.2828054298642534
2001,Spring Rape,-0.012443438914027148,0.6787330316742082,1.3574660633484164
2002,Spring Rape,0.17647058823529413,5.995475113122172,0.0
2003,Spring Rape,0.0667420814479638,2.658371040723982,0.11312217194570137
2004,Spring Rape,0.09219457013574661,4.015837104072398,0.11312217194570137
2005,Spring Rape,0.053167420814479636,3.6764705882352944,0.9615384615384616
2006,Spring Rape,0.024321266968325792,1.9230769230769231,1.0746606334841629
2007,Spring Rape,0.07975113122171945,3.1108597285067874,0.5656108597285068
2008,Spring Rape,0.0916289592760181,3.5633484162895925,0.4524886877828055
2009,Spring Rape,0.060520361990950226,2.262443438914027,0.0
2010,Spring Rape,0.033936651583710405,4.298642533936651,1.6968325791855203
2011,Spring Rape,-0.041289592760180995,1.809954751131222,2.1493212669683257
2012,Spring Rape,0.05090497737556561,2.771493212669683,0.6221719457013575
2013,Spring Rape,0.002828054298642534,1.0746606334841629,1.0746606334841629
2014,Spring Rape,0.005090497737556561,1.244343891402715,0.7918552036199095
2015,Spring Rape,0.035633484162895926,2.6018099547511313,0.7918552036199095
2016,Spring Rape,0.057126696832579184,1.6968325791855203,0.056561085972850686
