crop,median_delta,pct_years_positive,p_two_sided,p_greater_zero,significant
Winter Barley,0.0,25.0,0.1275,0.0638,False
Spring Barley,0.0,5.0,,,False
Winter Wheat,0.0,25.0,0.1275,0.0638,False
Spring Wheat,0.0,5.0,,,False
Silage Maize,0.0,35.0,0.0242,0.0121,True
White Potato,0.01144,85.0,0.004,0.002,True
Oat,0.0,45.0,0.2111,0.1056,False
Dry Pea,0.0,0.0,,,False
Winter Rape,0.0,0.0,,,False
Spring Rape,0.02614,85.0,0.0022,0.0011,True
