crop,cum_final,p_value,significant
Winter Barley,0.1527,0.465,False
Spring Barley,0.0543,0.189,False
Winter Wheat,0.1488,0.455,False
Spring Wheat,0.0628,0.162,False
Silage Maize,0.1442,0.008,True
White Potato,0.4072,0.004,True
Oat,0.5147,0.056,False
Dry Pea,0.0452,0.273,False
Winter Rape,-0.1001,0.258,False
Spring Rape,0.7732,0.013,True
OVERALL,0.2203,0.025,True
