crop,mean_n_changed,mean_pct_pos,mean_diff_overall,n_changed_slope,n_changed_p,mean_diff_slope,mean_diff_p,pct_pos_slope,pct_pos_p,mk_n_tau,mk_n_p,mk_d_tau,mk_d_p
combined_dry_pea,7.375,40.61710854870853,-0.003177557209815274,0.34981238273921206,0.007383977653185051,-0.0002151867346907416,0.06926853068066503,,,0.39871794871794874,0.00030405475356065637,-0.023076923076923078,0.842992183820956
combined_silage_maize,9.125,43.06142319267425,-0.00027570995312930797,0.4327392120075047,0.011890372537851248,1.9617062882956053e-05,0.7106071284209052,,,0.367948717948718,0.0008616358526467582,0.03333333333333333,0.770840345264592
combined_winter_barley,57.175,21.65528373169454,-0.04945101282862194,1.7353658536585366,4.313819222767127e-05,-0.0008576219622497359,0.17565688973061885,0.7024324592421924,0.0010474118679454096,0.4282051282051282,0.00010454474945054137,-0.19487179487179487,0.0785255109265468
combined_winter_wheat,56.4,21.097827376698227,-0.050922411975542904,1.677298311444653,3.902300414473621e-05,-0.0008881703572882711,0.17231914430757214,0.6828616692768252,0.0016547372603345845,0.43333333333333335,8.622720154738417e-05,-0.1858974358974359,0.09339611384155067
